"sample","method","distance.to.ramp"
"104","BOSS","16.4666953165852"
"30","BOSS","16.5917380516902"
"95","BOSS","16.5235567746012"
"106","BOSS","18.9727503028351"
"39","BOSS","18.7590041787135"
"140","BOSS","17.2382183512867"
"10","BOSS","16.3120446455641"
"147","BOSS","14.2556539098945"
"23","BOSS","13.341765459776"
"Old Point","BOSS","13.0677048640365"
"41","BOSS","13.0370718671823"
"33","BOSS","14.4739130282831"
"86","BOSS","15.1256545131071"
"56","BOSS","14.6263425196398"
"65","BOSS","14.1331190833958"
"137","BOSS","14.9099183816596"
"48","BOSS","14.8891515230883"
"67","BOSS","15.5242319579089"
"126","BOSS","15.8211542404595"
"44","BOSS","16.7622372153119"
"35","BOSS","17.3790617546236"
"100","BOSS","17.7360883429981"
"7","BOSS","17.5846826982624"
"108","BOSS","17.8311406191349"
"26","BOSS","18.2527815334465"
"125","BOSS","18.329326875442"
"98","BOSS","18.5373706203467"
"1","BOSS","20.2273915770933"
"83","BOSS","21.3141337223265"
"88","BOSS","22.0781438712975"
"36","BOSS","22.1261632275371"
"130","BOSS","20.7896700845014"
"46","BOSS","20.5454710273245"
"93","BOSS","19.6891713627311"
"78","BOSS","19.8310557462016"
"50","BOSS","19.4579227455165"
"80","BOSS","19.3098760691308"
"114","BOSS","18.7053142232658"
"64","BOSS","18.0529317874049"
"136","BOSS","18.2428027744528"
"97","BOSS","17.4571458605202"
"121","BOSS","16.41628214787"
"3","BOSS","16.2378882669189"
"73","BOSS","16.5451613826115"
"118","BOSS","17.6840737476321"
"128","BOSS","17.8117718932005"
"60","BOSS","17.7489505781282"
"134","BOSS","14.7731259527081"
"120","BOSS","14.3799635931015"
"8","BOSS","14.8025323737031"
"68","BOSS","13.8677832842792"
"117","BOSS","22.9818419101216"
"17","BOSS","23.4979428069494"
"40","BOSS","23.9383310052467"
"72","BOSS","24.1112286999233"
"109","BOSS","25.2801061166986"
"145","BOSS","26.2731800825913"
"S1","BOSS","34.6761132656394"
"S2","BOSS","34.643097116717"
"S3","BOSS","34.6473552869507"
"90","BOSS","26.8976691057868"
"22","BOSS","25.9156132074494"
"77","BOSS","25.2245927267337"
"82","BOSS","24.4173282325912"
"49","BOSS","24.5411113762149"
"141","BOSS","25.3996561275387"
"11","BOSS","24.3375085338391"
"146","BOSS","22.8003803788377"
"18","BOSS","22.8916676557071"
"42","BOSS","23.2364464990253"
"84","BOSS","23.1553701052823"
"20","BOSS","22.7497595676785"
"55","BOSS","23.1736735614788"
"115","BOSS","23.4981361879113"
"96","BOSS","23.1216248233372"
"89","BOSS","23.0315063781341"
"131","BOSS","22.9779769772417"
"112","BOSS","22.4471558089952"
"101","BOSS","22.3182676264732"
"12","BOSS","22.1494396540186"
"54","BOSS","21.8104108380527"
"94","BOSS","21.7640759998344"
"4","BOSS","21.7752639579924"
"79","BOSS","22.0064617813869"
"103","BOSS","22.6848840028572"
"129","BOSS","22.7087432639581"
"45","BOSS","22.675386361193"
"143","BOSS","22.3511129002556"
"113","BOSS","21.9015552418641"
"122","BOSS","22.0473255379959"
"27","BOSS","19.850609063594"
"135","BOSS","21.4833467473537"
"74","BOSS","21.5602442910787"
"105","BOSS","22.4202610344202"
"63","BOSS","22.4248817015139"
"25","BOSS","22.3293924345819"
"59","BOSS","22.2195649397651"
"123","BOSS","20.5700598244811"
"119","BOSS","21.8475485473188"
"15","BOSS","22.1097467847031"
"85","BOSS","22.4724100650693"
"81","BOSS","21.9116295056044"
"29","BOSS","24.3583239065732"
"61","BOSS","24.7011576292751"
"21","BOSS","23.569718428765"
"58","BOSS","23.3135591980781"
"87","BOSS","22.8244801992058"
"132","BOSS","21.9151856097036"
"9","BOSS","21.6567753815919"
"111","BOSS","20.7492807620876"
"142","BOSS","20.1773031430515"
"66","BOSS","19.9919875306702"
"34","BOSS","20.5539198642653"
"19","BOSS","19.7665536637336"
"75","BOSS","19.178973066705"
"51","BOSS","18.6166351148623"
"31","BOSS","18.7805045004616"
"13","BOSS","17.7464284109031"
