"sample","latitude","longitude","date","time","site","location","successful.count","habitat.backwards.image.saved","fov.facing.up","fov.limited","fov.open","fov.total.points.annotated","broad.ascidians","broad.bryozoa","broad.consolidated","broad.hydroids","broad.macroalgae","broad.octocoral.black","broad.seagrasses","broad.sponges","broad.stony.corals","broad.true.anemones","broad.unconsolidated","broad.total.points.annotated"
"IO165",-34.04368897,114.8988721,20201016,07:23:00,"C.IO.62","South-west","Yes","Yes",0,0,39,39,0,3,3,0,20,0,0,1,0,0,0,27
"IO17",-34.06368897,114.8763721,20201016,08:07:00,"C.IO.35","South-west","Yes","Yes",0,0,20,20,0,0,1,0,16,0,0,1,0,0,2,20
"IO180",-33.99618897,114.7038721,20201123,12:36:00,"C.IO.41","South-west","Yes","Yes",0,2,38,40,0,0,0,0,0,0,0,0,0,0,38,38
"IO184",-34.04118897,114.9038721,20201016,07:19:00,"C.IO.62","South-west","Yes","Yes",0,3,37,40,0,0,2,0,12,0,0,13,0,0,7,34
"IO189",-33.98868897,114.6638721,20201023,12:31:00,"C.IO.40","South-west","Yes","Yes",0,0,20,20,0,1,0,0,0,0,0,0,0,0,19,20
"IO191",-33.99868897,114.6713721,20201023,12:20:00,"C.IO.40","South-west","Yes","Yes",0,1,39,40,0,3,0,1,0,0,0,1,0,0,32,37
"IO192",-33.98618897,114.6688721,20201023,12:36:00,"C.IO.40","South-west","Yes","Yes",0,3,37,40,0,1,0,0,0,0,0,0,0,0,31,32
"IO194",-33.99618897,114.6638721,20201023,12:24:00,"C.IO.40","South-west","Yes","Yes",0,0,20,20,0,2,0,0,0,0,0,0,0,0,18,20
"IO195",-34.09368897,114.8588721,20201016,09:57:00,"C.IO.6","South-west","Yes","Yes",0,2,38,40,0,0,2,0,15,0,8,0,0,0,12,37
"IO199",-34.08618897,114.8613721,20201016,09:51:00,"C.IO.6","South-west","Yes","Yes",0,1,39,40,0,0,5,0,21,0,6,1,2,0,1,36
"IO201",-34.05618897,114.8338721,20201015,14:46:00,"C.IO.5","South-west","Yes","Yes",0,4,31,35,0,1,15,0,9,0,1,1,0,0,5,32
"IO204",-34.06618897,114.7863721,20201015,10:35:00,"C.IO.7","South-west","Yes","Yes",0,2,38,40,0,2,0,0,3,0,0,7,0,0,20,32
"IO206",-34.06368897,114.7913721,20201015,10:28:00,"C.IO.7","South-west","Yes","Yes",0,0,20,20,0,0,2,1,0,0,0,4,0,0,6,13
"IO207",-34.06118897,114.7863721,20201015,10:23:00,"C.IO.7","South-west","Yes","Yes",0,2,38,40,0,3,4,0,9,0,0,1,0,0,13,30
"IO210",-34.09118897,114.8738721,20201016,10:09:00,"C.IO.6","South-west","Yes","Yes",0,2,38,40,0,0,3,0,16,0,1,6,0,0,3,29
"IO211",-34.05618897,114.9063721,20201029,10:42:00,"C.IO.3","South-west","Yes","Yes",0,5,35,40,0,0,0,0,11,0,19,3,0,0,0,33
"IO215",-34.06868897,114.9263721,20201016,12:34:00,"C.IO.2","South-west","Yes","Yes",0,3,37,40,0,0,0,0,0,0,0,0,0,0,35,35
"IO216",-34.06118897,114.9163721,20201029,10:33:00,"C.IO.3","South-west","Yes","Yes",0,1,34,35,0,0,6,0,16,0,0,3,0,0,10,35
"IO217",-34.06618897,114.9188721,20201016,12:43:00,"C.IO.2","South-west","Yes","Yes",0,1,39,40,0,0,4,0,4,0,0,1,0,0,28,37
"IO218",-34.07368897,114.9213721,20201016,12:28:00,"C.IO.2","South-west","Yes","Yes",0,3,37,40,0,1,3,0,0,0,0,0,0,0,25,29
"IO220",-34.05618897,114.8438721,20201015,14:39:00,"C.IO.5","South-west","Yes","Yes",0,3,37,40,0,0,2,0,27,0,0,0,0,0,1,30
"IO222",-34.06618897,114.8313721,20201015,14:54:00,"C.IO.4","South-west","Yes","Yes",0,1,35,36,0,0,6,0,13,0,0,0,0,0,9,28
"IO223",-34.07118897,114.8463721,20201015,14:25:00,"C.IO.4","South-west","Yes","Yes",0,3,37,40,0,0,3,0,5,0,1,0,0,0,17,26
"IO224",-34.06118897,114.8388721,20201015,14:35:00,"C.IO.4","South-west","Yes","Yes",0,1,34,35,0,0,16,0,10,0,1,1,0,0,2,30
"IO225",-34.07118897,114.8338721,20201015,14:20:00,"C.IO.4","South-west","Yes","Yes",0,3,37,40,0,0,4,0,27,0,0,1,0,0,3,35
