"campaignid","sample","longitude","latitude","depth","broad.seagrasses","date","id"
"2020-10_south-west_BOSS","133",114.8664,-33.9912,40.5,21,"20201030","2020-10_south-west_BOSS.133"
"2020-10_south-west_BOSS","132",114.8714,-33.9912,42.7,21,"20201030","2020-10_south-west_BOSS.132"
"2020-10_south-west_BOSS","FH77",114.8764,-33.9962,42,1,"20201030","2020-10_south-west_BOSS.FH77"
"2020-10_south-west_BOSS","FH52",114.8889,-33.9912,42.8,14,"20201030","2020-10_south-west_BOSS.FH52"
"2020-10_south-west_BOSS","245",114.9014,-34.0087,45.5,1,"20201030","2020-10_south-west_BOSS.245"
"2020-10_south-west_BOSS","273",114.8214,-33.9987,46,1,"20201030","2020-10_south-west_BOSS.273"
"2020-10_south-west_BOSS","328",114.8214,-33.9936,44.8,5,"20201030","2020-10_south-west_BOSS.328"
"2020-10_south-west_BOSS","145",114.8239,-33.9862,44.3,1,"20201030","2020-10_south-west_BOSS.145"
"2020-10_south-west_BOSS","146",114.8214,-33.9762,45.3,8,"20201030","2020-10_south-west_BOSS.146"
"2020-10_south-west_BOSS","157",114.8239,-33.9712,44.7,5,"20201030","2020-10_south-west_BOSS.157"
"2020-10_south-west_BOSS","235",114.9364,-34.0912,47,2,"20201031","2020-10_south-west_BOSS.235"
"2020-10_south-west_BOSS","356",114.9185,-34.0696,47.2,2,"20201031","2020-10_south-west_BOSS.356"
"2020-10_south-west_BOSS","100",114.9089,-34.0762,44.5,11,"20201031","2020-10_south-west_BOSS.100"
"2020-10_south-west_BOSS","80",114.8889,-34.0937,43.1,9,"20201031","2020-10_south-west_BOSS.80"
"2020-10_south-west_BOSS","81",114.8914,-34.0987,43.3,15,"20201031","2020-10_south-west_BOSS.81"
"2020-10_south-west_BOSS","92",114.8864,-34.0987,41.3,6,"20201031","2020-10_south-west_BOSS.92"
"2020-10_south-west_BOSS","210",114.8739,-34.0912,43.9,15,"20201031","2020-10_south-west_BOSS.210"
"2020-10_south-west_BOSS","336",114.8664,-34.0924,43.1,3,"20201031","2020-10_south-west_BOSS.336"
"2020-10_south-west_BOSS","195",114.8589,-34.0937,44.4,10,"20201031","2020-10_south-west_BOSS.195"
"2020-10_south-west_BOSS","199",114.8614,-34.0862,42.7,4,"20201031","2020-10_south-west_BOSS.199"
"2020-10_south-west_BOSS","16",114.8689,-34.0737,41.4,4,"20201031","2020-10_south-west_BOSS.16"
"2020-10_south-west_BOSS","17",114.8764,-34.0637,41,2,"20201031","2020-10_south-west_BOSS.17"
"2020-10_south-west_BOSS","34",114.8714,-34.0612,41.4,10,"20201031","2020-10_south-west_BOSS.34"
"2020-10_south-west_BOSS","15",114.8664,-34.0612,41.6,15,"20201031","2020-10_south-west_BOSS.15"
"2020-10_south-west_BOSS","223",114.8464,-34.0712,44.2,8,"20201031","2020-10_south-west_BOSS.223"
"2020-10_south-west_BOSS","226",114.8439,-34.0637,44,4,"20201031","2020-10_south-west_BOSS.226"
"2020-10_south-west_BOSS","224",114.8389,-34.0612,44.9,3,"20201031","2020-10_south-west_BOSS.224"
"2020-10_south-west_BOSS","72",114.8464,-34.0362,43.3,9,"20201031","2020-10_south-west_BOSS.72"
"2020-10_south-west_BOSS","75",114.8539,-34.0337,42.6,14,"20201031","2020-10_south-west_BOSS.75"
"2020-10_south-west_BOSS","74",114.8514,-34.0287,43.2,15,"20201031","2020-10_south-west_BOSS.74"
"2020-10_south-west_BOSS","73",114.8589,-34.0287,42.2,24,"20201031","2020-10_south-west_BOSS.73"
"2020-10_south-west_BOSS","264",114.8739,-34.0187,42.4,7,"20201031","2020-10_south-west_BOSS.264"
"2020-10_south-west_BOSS","66",114.8814,-34.0162,42.5,15,"20201031","2020-10_south-west_BOSS.66"
"2020-10_south-west_BOSS","339",114.8785,-34.0146,42.1,11,"20201031","2020-10_south-west_BOSS.339"
"2020-10_south-west_BOSS","262",114.8739,-34.0137,42.1,5,"20201031","2020-10_south-west_BOSS.262"
"2020-10_south-west_BOSS","263",114.8789,-34.0087,42.6,20,"20201031","2020-10_south-west_BOSS.263"
"2020-10_south-west_BOSS","228",114.7939,-34.0037,50.6,2,"20201108","2020-10_south-west_BOSS.228"
