"sample","distance.to.ramp"
"IO204",20.6643527580456
"IO206",20.1309674148929
"IO207",20.4444221775044
"IO210",15.5707771007913
"IO211",10.7088227070523
"IOC06",12.4095259558769
"IO216",10.467789636865
"IO217",10.7476869140651
"IO218",11.2802794911461
"IO220",15.4199879843144
"IO222",16.965507776044
"IO223",16.0852281372329
"IO224",16.0909765347661
"IO225",17.051979768697
"IO226",15.8321913193087
"IO227",19.1258758971737
"IO228",18.2421030837289
"IO229",18.8771295253027
"IO235",11.0390669901783
"IO236",11.8520999764405
"IO237",11.2924453577482
"IO239",12.4923781055495
"IO241",18.4165671398887
"IO244",7.95751247341612
"IO245",8.52607376642461
"IO253",26.5983840098156
"IO254",27.343788380484
"IO258",7.61460753542657
"IO259",6.86989066130111
"IO260",7.21666962546767
"IO261",6.62449893833647
"IO262",11.1186812079592
"IO263",10.550128277879
"IO264",11.2612218556874
"IO266",21.6770192329271
"IO267",21.3186849805918
"IO269",16.3412167021148
"IO272",16.4656267673959
"IO273",15.6760666029175
"IO275",33.9597234031804
"IO276",34.9187497617235
"IO277",34.2628619990818
"IO278",35.1116256013274
"IO280",31.2001110034846
"IO290",26.5507434033445
"IO291",24.6113548363709
"IO293",24.0266708883675
"IO294",24.1946529943486
"IO295",25.2256599163606
"IO297",25.7629522626463
"IO298",30.9618862703091
"IO299",30.7016570406107
"IO3",21.3468607036796
"IO300",31.5371983646498
"IO302",26.209838717928
"IO306",26.7077003835146
"IO307",28.2504083224666
"IO308",27.6383942011142
"IO310",21.4114002269867
"IO311",21.747700391632
"IO312",20.9815377013941
"IO313",24.6183012742681
"IO319",26.5418401911498
"IO323",36.3101723852996
"IO324",32.3962181915743
"IO325",22.8351849986124
"IO326",27.8597239812294
"IO327",21.5237030640195
"IO328",15.6534962677034
"IO329",25.7355023887263
"IO330",24.3681940252294
"IO331",25.24686918031
"IO332",26.4554849131098
"IO333",28.0377049376134
"IO334",21.3980419411213
"IO335",20.0582499397026
"IO336",16.152260403688
"IO337",15.8413516336796
"IO338",6.64466350596188
"IO339",10.7300748731609
"IO34",13.5604913107586
"IO343",34.6014058417458
"IO344",30.9912457329848
"IO349",36.5606436822005
"IO350",35.9026915118553
"IO351",36.6530059066946
"IO352",36.4969342688757
"IO353",15.7182636234787
"IO354",16.2728660201656
"IO355",10.2820944459993
"IO356",11.0671177289888
"IO357",12.0231363223587
"IO36",28.0635743359904
"IO361",23.0206476866972
"IO363",22.1036550263438
"IO364",27.9285758217994
"IO365",22.1763767895113
"IO369",37.0776010530578
"IO37",28.3167247082184
"IO370",31.7780193178535
"IO372",32.0484006776194
"IO374",22.5642354278759
"IO377",26.3762019241746
"IO378",32.4649146327726
"IO379",30.3606757648558
"IO4",22.3396920480955
"IO40",28.4756731674858
"IO46",27.2041368655902
"IO47",27.0320823537228
"IO49",27.3906325428681
"IO5",22.6036704311771
"IO58",25.1904118097998
"IO59",25.6328698186981
"IO62",25.9340669484138
"IO64",9.11628661045708
"IO65",9.71049887277811
"IO66",10.5205761414818
"IO71",26.9743424768972
"IO72",14.2834491440494
"IO73",12.9161711283196
"IO74",13.5701631006522
"IO75",13.5391640890201
"IO80",14.8597130262219
"IO81",15.1524020708847
"IO91",14.5720746378402
"IO92",15.4360760184471
"IO95",28.0947496844467
"IO96",28.4165593216684
"IO98",28.7417122530539
"IOC04",24.7623006949867
"IOC05",10.9928831101881
"IO215",10.5615823136522
"IOCP11-1",27.1419268119541
"IOCP11-2",27.5570730580396
"IOCP2311",36.0411061857806
"IOREDO344",30.9912457329848
