"campaignid","sample","latitude","longitude","depth","depth.multibeam","slope","aspect","roughness","tpi","flowdir","detrended"
"2020-06_south-west_stereo-BRUVs","32",-34.130076,114.86109,43.2,44.2820472717285,0.0104147139936686,4.89211416244507,0.130573451519012,-0.0450236536562443,64,0.549505829811096
"2020-06_south-west_stereo-BRUVs","33",-34.133067,114.8627,43.6,44.1517639160156,0.00112629833165556,6.21295261383057,0.062193725258112,-0.0394057147204876,64,0.783392012119293
"2020-06_south-west_stereo-BRUVs","34",-34.131334,114.866053,42.7,44.3274917602539,0.00248564081266522,1.41518700122833,0.0496698431670666,0.00740935606881976,1,0.0335719771683216
"2020-06_south-west_stereo-BRUVs","35",-34.134801,114.869348,43.8,43.7988090515137,0.0282502043992281,5.83792924880981,0.31948646903038,0.0146322231739759,16,0.499473601579666
"2020-06_south-west_stereo-BRUVs","36",-34.130484,114.878263,42.2,42.6771087646484,0.00661533325910568,4.8821587562561,0.347261607646942,-0.188021197915077,16,0.587494134902954
"2020-06_south-west_stereo-BRUVs","37",-34.126354,114.878937,41.2,42.9754600524902,0.00650046160444617,4.76165914535522,0.127465009689331,0.0625854581594467,16,0.160662069916725
"2020-06_south-west_stereo-BRUVs","38",-34.127912,114.883938,41.8,42.6322326660156,0.00867035333067179,0.189330294728279,0.0891804099082947,0.0271209757775068,1,0.321686148643494
"2020-06_south-west_stereo-BRUVs","39",-34.132294,114.884797,42.2,42.7178649902344,0.00696979509666562,6.04023456573486,0.0805319026112556,0.0086384667083621,16,0.212171867489815
"2020-06_south-west_stereo-BRUVs","40",-34.133669,114.880443,41.2,42.7340507507324,0.00730094313621521,0.762133181095123,0.0730073153972626,-0.00310669117607176,1,0.498070776462555
"2020-10_south-west_stereo-BRUVs","IO1",-34.07868897,114.7788721,64.6,65.6674957275391,0.0431446768343449,1.15633881092072,0.52597314119339,-0.143256038427353,1,1.87606859207153
"2020-10_south-west_stereo-BRUVs","IO100",-34.07618897,114.9088721,43.6,45.0910873413086,0.0112025616690516,2.68355751037598,0.102293722331524,0.0275074914097786,1,0.0347711853682995
"2020-10_south-west_stereo-BRUVs","IO101",-34.07868897,114.8963721,43.5,43.679988861084,0.00687466934323311,2.47570037841797,0.211391478776932,0.139415368437767,16,0.78760826587677
"2020-10_south-west_stereo-BRUVs","IO102",-34.07118897,114.9113721,45.2,47.0694580078125,0.00549482274800539,4.14322710037231,0.103398732841015,-0.00245452392846346,16,-1.75378715991974
"2020-10_south-west_stereo-BRUVs","IO113",-34.05868897,114.7388721,111,112.577453613281,0.0148628521710634,4.61365175247192,0.139174088835716,-0.0156077891588211,16,-2.28028225898743
"2020-10_south-west_stereo-BRUVs","IO115",-34.05368897,114.7363721,112,113.642753601074,0.00110156566370279,4.06704330444336,0.0411942899227142,0.0222100131213665,16,-1.83569133281708
"2020-10_south-west_stereo-BRUVs","IO117",-34.06368897,114.7388721,115,113.879768371582,0.0104874419048429,4.59193706512451,0.147990956902504,-0.0516542494297028,16,-2.30789971351624
"2020-10_south-west_stereo-BRUVs","IO119",-34.07618897,114.9038721,43.8,44.696044921875,0.0116848172619939,1.06971180438995,0.12452057749033,-0.0387625955045223,1,0.183357790112495
"2020-10_south-west_stereo-BRUVs","IO122",-34.11618897,114.8263721,57.4,50.4696960449219,0.0172675345093012,3.95606184005737,0.180318027734756,0.00675179436802864,16,-0.839992046356201
"2020-10_south-west_stereo-BRUVs","IO123",-34.10618897,114.8188721,49.1,50.9112434387207,0.00730342464521527,3.16468596458435,0.137288480997086,-0.0129145178943872,1,-0.168066024780273
"2020-10_south-west_stereo-BRUVs","IO125",-34.10868897,114.8263721,55.8,50.4277305603027,0.00144854793325067,4.76830339431763,0.0800388902425766,-0.0011867790017277,4,-0.962883353233337
"2020-10_south-west_stereo-BRUVs","IO126",-34.11368897,114.8188721,58.2,50.2694892883301,0.0277976859360933,4.4094090461731,0.272008001804352,0.000508562137838453,16,0.573253989219666
"2020-10_south-west_stereo-BRUVs","IO15",-34.06118897,114.8663721,40.8,41.6138381958008,0.0125653007999063,4.50707340240479,0.138964518904686,0.0512776114046574,16,0.60516220331192
"2020-10_south-west_stereo-BRUVs","IO153",-34.04618897,114.8888721,42.6,44.0345077514648,0.011098706163466,0.4918292760849,0.166476517915726,-0.0894761085510254,32,-0.0892726331949234
"2020-10_south-west_stereo-BRUVs","IO155",-34.04368897,114.8838721,41.9,43.3107223510742,0.00372268864884973,1.09329891204834,0.0561608225107193,0.0150177730247378,1,-0.119619816541672
"2020-10_south-west_stereo-BRUVs","IO16",-34.07368897,114.8688721,41.4,42.2464141845703,0.0151782501488924,0.669108986854553,0.187644988298416,-0.0100833503529429,1,0.281866103410721
"2020-10_south-west_stereo-BRUVs","IO164",-34.03368897,114.9038721,44.1,45.528190612793,0.00185369083192199,6.04321146011353,0.0751663222908974,-0.0395506210625172,2,1.61172640323639
"2020-10_south-west_stereo-BRUVs","IO165",-34.04368897,114.8988721,42.6,44.6251945495605,0.00765587948262691,1.34976744651794,0.0914602130651474,0.00277754967100918,1,1.32727372646332
"2020-10_south-west_stereo-BRUVs","IO17",-34.06368897,114.8763721,41.1,41.8505020141602,0.00768694840371609,2.10043692588806,0.193832382559776,0.00814539566636086,2,0.801787853240967
"2020-10_south-west_stereo-BRUVs","IO184",-34.04118897,114.9038721,45.9,46.1635208129883,0.00756509229540825,1.39638924598694,0.147029384970665,0.000379144883481786,1,0.977124154567719
"2020-10_south-west_stereo-BRUVs","IO195",-34.09368897,114.8588721,43.4,44.4779396057129,0.00848811864852905,0.749370753765106,0.264085441827774,-0.0857414901256561,128,-1.58781111240387
"2020-10_south-west_stereo-BRUVs","IO199",-34.08618897,114.8613721,42.1,43.6505317687988,0.00562915857881308,1.75496971607208,0.125424206256866,-0.03463039919734,64,-0.904768943786621
"2020-10_south-west_stereo-BRUVs","IO201",-34.05618897,114.8338721,45.3,46.3686332702637,0.00168202619533986,5.37563276290894,0.0420740395784378,-0.00192121008876711,64,-0.392403036355972
"2020-10_south-west_stereo-BRUVs","IO204",-34.06618897,114.7863721,61.5,61.809455871582,0.0214835405349731,4.76703214645386,0.199199438095093,0.0778786092996597,16,-2.86980724334717
"2020-10_south-west_stereo-BRUVs","IO206",-34.06368897,114.7913721,58.2,59.5322723388672,0.0291665811091661,4.56142520904541,0.307464212179184,-0.0519588254392147,16,-3.34140801429749
"2020-10_south-west_stereo-BRUVs","IO207",-34.06118897,114.7863721,60.4,61.4954719543457,0.0103847375139594,0.868234395980835,0.116135582327843,-0.000762558251153678,1,-3.07608079910278
"2020-10_south-west_stereo-BRUVs","IO210",-34.09118897,114.8738721,43.5,43.5444564819336,0.0204819329082966,2.63784766197205,0.271453410387039,0.0927882120013237,1,-0.571295261383057
"2020-10_south-west_stereo-BRUVs","IO211",-34.05618897,114.9063721,43.5,45.161506652832,0.0441244319081306,3.03247237205505,0.465435028076172,0.209395498037338,1,1.11560535430908
"2020-10_south-west_stereo-BRUVs","IOC06",-34.048689,114.876372,41.5,43.0109443664551,0.0151884146034718,2.70702147483826,0.153023704886436,-0.0390498898923397,1,-0.533647358417511
"2020-10_south-west_stereo-BRUVs","IO216",-34.06118897,114.9163721,47.5,49.1489028930664,0.0147570194676518,2.1850905418396,0.189138561487198,-0.0105741480365396,1,-2.67233324050903
"2020-10_south-west_stereo-BRUVs","IO217",-34.06618897,114.9188721,47.1,48.9898262023926,0.00512141780927777,5.5519380569458,0.102575033903122,0.0278605781495571,16,-3.05967783927917
"2020-10_south-west_stereo-BRUVs","IO218",-34.07368897,114.9213721,46.8,48.042423248291,0.0100928610190749,4.44660997390747,0.14501228928566,0.00308661721646786,16,-2.57749199867249
"2020-10_south-west_stereo-BRUVs","IO220",-34.05618897,114.8438721,43.7,45.2445335388184,0.00368701037950814,5.43181753158569,0.0561291500926018,-0.0160788297653198,64,-1.39459085464478
"2020-10_south-west_stereo-BRUVs","IO222",-34.06618897,114.8313721,45,47.0668029785156,0.00867082830518484,0.659488797187805,0.113450415432453,0.0277473758906126,1,0.787986934185028
"2020-10_south-west_stereo-BRUVs","IO223",-34.07118897,114.8463721,42.9,44.5804786682129,0.0448356680572033,0.238639011979103,0.492157727479935,0.0375465825200081,1,-0.038769107311964
"2020-10_south-west_stereo-BRUVs","IO224",-34.06118897,114.8388721,43.6,45.5779113769531,0.0128636034205556,2.30205941200256,0.162884503602982,-0.0223447512835264,1,-0.25942263007164
"2020-10_south-west_stereo-BRUVs","IO225",-34.07118897,114.8338721,44.9,46.7266235351562,0.00801679212599993,5.51101779937744,0.114013098180294,-0.0320116728544235,64,1.04481339454651
"2020-10_south-west_stereo-BRUVs","IO226",-34.06368897,114.8438721,42.8,45.0395240783691,0.00807511061429977,5.21813488006592,0.173603385686874,0.044159509241581,16,-0.581985473632812
"2020-10_south-west_stereo-BRUVs","IO235",-34.06618897,114.9138721,46.5,48.3635025024414,0.0220952089875937,5.03687810897827,0.184455037117004,-0.000980594893917441,16,-2.59898567199707
"2020-10_south-west_stereo-BRUVs","IO236",-34.08118897,114.9238721,46.8,47.212718963623,0.00311262207105756,0.646905064582825,0.159580409526825,0.0852798745036125,1,-1.68795800209045
"2020-10_south-west_stereo-BRUVs","IO237",-34.08118897,114.9363721,43.2,44.6443290710449,0.0157771427184343,5.27653551101685,0.198263421654701,0.063244953751564,16,0.414495438337326
"2020-10_south-west_stereo-BRUVs","IO239",-34.09118897,114.9313721,45.9,46.4702949523926,0.00912100728601217,3.50116109848022,0.174415841698647,0.0293895453214645,1,-0.514435231685638
"2020-10_south-west_stereo-BRUVs","IO264",-34.01868897,114.8738721,42,43.5122833251953,0.0155911520123482,4.78934240341187,0.177388116717339,0.0103508364409208,16,-0.975126564502716
"2020-10_south-west_stereo-BRUVs","IO266",-34.02118897,114.7588721,67.3,68.8574523925781,0.00560329342260957,5.2212119102478,0.0464423522353172,0.00187039631418884,16,3.27504992485046
"2020-10_south-west_stereo-BRUVs","IO267",-34.02618897,114.7638721,62.5,64.5450592041016,0.0143635999411345,4.42311429977417,0.156918227672577,0.059410136193037,16,3.29358506202698
"2020-10_south-west_stereo-BRUVs","IO291",-34.08368897,114.7488721,109,110.938209533691,0.00927691720426083,4.9156379699707,0.200377628207207,0.0597576498985291,16,-3.365483045578
"2020-10_south-west_stereo-BRUVs","IO293",-34.08868897,114.7588721,111,97.463249206543,0.0199352130293846,5.13522577285767,0.339440584182739,0.143855795264244,16,0.789582312107086
"2020-10_south-west_stereo-BRUVs","IO294",-34.08368897,114.7538721,114,103.135696411133,0.0162508990615606,3.4193217754364,0.18002100288868,0.0649144053459167,16,-1.00631070137024
"2020-10_south-west_stereo-BRUVs","IO295",-34.10368897,114.7538721,109,111.865882873535,0.0157812368124723,4.36691617965698,0.169879496097565,-0.0167573560029268,16,-1.10815346240997
"2020-10_south-west_stereo-BRUVs","IO297",-34.10618897,114.7488721,114,116.420806884766,0.00548155466094613,5.5842604637146,0.0740857496857643,0.00101594324223697,16,-0.275159150362015
"2020-10_south-west_stereo-BRUVs","IO3",-34.07618897,114.7838721,62,63.8271942138672,0.00905114784836769,2.00000262260437,0.149193525314331,-0.0159253906458616,1,-1.72064554691315
"2020-10_south-west_stereo-BRUVs","IO306",-34.10118897,114.7338721,124,123.75318145752,0.0133850704878569,4.97723627090454,0.143818244338036,-0.0350492559373379,16,0.116119660437107
"2020-10_south-west_stereo-BRUVs","IO308",-34.11118897,114.7288721,126,127.938461303711,0.00161183113232255,3.63153648376465,0.147516831755638,-0.0999175533652306,64,1.11299633979797
"2020-10_south-west_stereo-BRUVs","IO310",-34.05868897,114.7738721,64.7,66.4332122802734,0.018620016053319,3.72022199630737,0.193088635802269,0.00485529284924269,16,1.15599095821381
"2020-10_south-west_stereo-BRUVs","IO311",-34.05618897,114.7688721,66.1,68.142951965332,0.05435436591506,4.29347658157349,0.546657025814056,0.0095237772911787,16,3.83554482460022
