"campaignid","sample","slope","aspect","roughness","tpi","detrended"
"2020-10_south-west_stereo-BRUVs","FH102",0.0018087369389832,3.77475828372553e-15,1,0.375,1.99195694923401
"2020-10_south-west_stereo-BRUVs","FH106",0.0021070905495435,0.538644850254059,3,-0.125,34.1831016540527
"2020-10_south-west_stereo-BRUVs","FH108",0.00146018003579229,3.52060222625732,1,0.25,5.22527408599854
"2020-10_south-west_stereo-BRUVs","FH109",0.00234628724865615,1.17510485649109,1,0.5,13.3105936050415
"2020-10_south-west_stereo-BRUVs","FH11",0.00976757146418095,5.19368696212769,6,0.875,11.6964349746704
"2020-10_south-west_stereo-BRUVs","FH110",0.00274039525538683,4.54662418365479,2,0,33.3394393920898
"2020-10_south-west_stereo-BRUVs","FH111",0.00216677249409258,1.57079637050629,1,-0.375,25.2810440063477
"2020-10_south-west_stereo-BRUVs","FH113",3.46944695195361e-18,1.57079637050629,0,0,37.9452590942383
"2020-10_south-west_stereo-BRUVs","FH12",0.00282116467133164,0.874826073646545,2,0.25,17.7760372161865
"2020-10_south-west_stereo-BRUVs","FH14",0.00216119387187064,1.57079637050629,1,-0.375,19.6380519866943
"2020-10_south-west_stereo-BRUVs","FH15",0.00281670736148953,2.26808929443359,2,0.25,34.3203773498535
"2020-10_south-west_stereo-BRUVs","FH16",0,1.57079637050629,0,0,28.2066898345947
"2020-10_south-west_stereo-BRUVs","FH17",3.46944695195361e-18,4.71238899230957,0,0,21.0215129852295
"2020-10_south-west_stereo-BRUVs","FH18",0.0042280163615942,4.01568412780762,3,-0.5,32.8873405456543
"2020-10_south-west_stereo-BRUVs","FH2",0.0018087369389832,6.28318548202515,1,-0.375,19.136381149292
"2020-10_south-west_stereo-BRUVs","FH20",0.00168315274640918,1.29880177974701,1,-0.25,19.4745635986328
"2020-10_south-west_stereo-BRUVs","FH21",0.0014093704521656,4.01569843292236,1,-0.375,36.3527870178223
"2020-10_south-west_stereo-BRUVs","FH23",0.000705427082721144,5.40820026397705,2,0,35.8511161804199
"2020-10_south-west_stereo-BRUVs","FH24",0.00107937178108841,1.57079637050629,2,0,23.6011161804199
"2020-10_south-west_stereo-BRUVs","FH25",0.00146045500878245,5.90370321273804,1,0.25,36.508171081543
"2020-10_south-west_stereo-BRUVs","FH26",0.00140953995287418,4.01579904556274,2,0,32.3635101318359
"2020-10_south-west_stereo-BRUVs","FH27",0,1.57079637050629,0,0,22.4464416503906
"2020-10_south-west_stereo-BRUVs","FH28",6.93889390390723e-18,1.57079637050629,0,0,2.56917214393616
"2020-10_south-west_stereo-BRUVs","FH30",0.00234243529848754,1.96717476844788,1,-0.5,12.4893388748169
"2020-10_south-west_stereo-BRUVs","FH31",0.00168110686354339,4.98472309112549,1,0.25,30.1716613769531
"2020-10_south-west_stereo-BRUVs","FH32",0.00302098831161857,1.10510361194611,3,-0.5,-1.57548987865448
"2020-10_south-west_stereo-BRUVs","FH33",0,1.57079637050629,1,-0.25,30.3956832885742
"2020-10_south-west_stereo-BRUVs","FH34",0.000704649253748357,2.26752996444702,1,-0.125,15.7538766860962
"2020-10_south-west_stereo-BRUVs","FH35",0.00234552612528205,4.31656169891357,1,-0.5,5.34943819046021
"2020-10_south-west_stereo-BRUVs","FH37",3.46944695195361e-18,1.57079637050629,0,0,32.8611297607422
"2020-10_south-west_stereo-BRUVs","FH39",0.00432932656258345,4.71238899230957,2,-1,5.8661208152771
