"campaignid","sample","method","distance.to.ramp"
"2020-10_south-west_stereo-BRUVs","IO37","BRUV","114.7188721"
"2020-10_south-west_stereo-BRUVs","IO370","BRUV","114.6463721"
"2020-10_south-west_stereo-BRUVs","IO372","BRUV","114.6438721"
"2020-10_south-west_stereo-BRUVs","IO374","BRUV","114.7463721"
"2020-10_south-west_stereo-BRUVs","IO377","BRUV","114.7588721"
"2020-10_south-west_stereo-BRUVs","IO378","BRUV","114.6388721"
"2020-10_south-west_stereo-BRUVs","IO379","BRUV","114.6813721"
"2020-10_south-west_stereo-BRUVs","IO4","BRUV","114.7813721"
"2020-10_south-west_stereo-BRUVs","IO40","BRUV","114.7138721"
"2020-10_south-west_stereo-BRUVs","IO46","BRUV","114.7113721"
"2020-10_south-west_stereo-BRUVs","IO47","BRUV","114.7113721"
"2020-10_south-west_stereo-BRUVs","IO49","BRUV","114.7063721"
"2020-10_south-west_stereo-BRUVs","IO5","BRUV","114.7763721"
"2020-10_south-west_stereo-BRUVs","IO58","BRUV","114.7738721"
"2020-10_south-west_stereo-BRUVs","IO59","BRUV","114.7663721"
"2020-10_south-west_stereo-BRUVs","IO62","BRUV","114.7663721"
"2020-10_south-west_stereo-BRUVs","IO64","BRUV","114.8963721"
"2020-10_south-west_stereo-BRUVs","IO65","BRUV","114.8888721"
"2020-10_south-west_stereo-BRUVs","IO66","BRUV","114.8813721"
"2020-10_south-west_stereo-BRUVs","IO71","BRUV","114.6988721"
"2020-10_south-west_stereo-BRUVs","IO72","BRUV","114.8463721"
"2020-10_south-west_stereo-BRUVs","IO73","BRUV","114.8588721"
"2020-10_south-west_stereo-BRUVs","IO74","BRUV","114.8513721"
"2020-10_south-west_stereo-BRUVs","IO75","BRUV","114.8538721"
"2020-10_south-west_stereo-BRUVs","IO80","BRUV","114.8888721"
"2020-10_south-west_stereo-BRUVs","IO81","BRUV","114.8913721"
"2020-10_south-west_stereo-BRUVs","IO91","BRUV","114.8938721"
"2020-10_south-west_stereo-BRUVs","IO92","BRUV","114.8863721"
"2020-10_south-west_stereo-BRUVs","IO95","BRUV","114.7338721"
"2020-10_south-west_stereo-BRUVs","IO96","BRUV","114.7363721"
"2020-10_south-west_stereo-BRUVs","IO98","BRUV","114.7313721"
"2020-10_south-west_stereo-BRUVs","IOC04","BRUV","114.749265"
"2020-10_south-west_stereo-BRUVs","IOC05","BRUV","114.899843"
"2020-10_south-west_stereo-BRUVs","IO215","BRUV","114.9263721"
"2020-10_south-west_stereo-BRUVs","IOCP11-1","BRUV","114.696642"
"2020-10_south-west_stereo-BRUVs","IOCP11-2","BRUV","114.692773"
"2020-10_south-west_stereo-BRUVs","IOCP2311","BRUV","114.601465"
"2020-10_south-west_stereo-BRUVs","IOREDO344","BRUV","114.6744"
"2020-10_south-west_BOSS","FH92","BOSS","10.8505719253068"
"2020-10_south-west_BOSS","FH61","BOSS","11.578769027801"
"2020-10_south-west_BOSS","FH27","BOSS","11.0110551251609"
"2020-10_south-west_BOSS","FH17","BOSS","10.6320756143162"
"2020-10_south-west_BOSS","FH56","BOSS","11.5957164257674"
"2020-10_south-west_BOSS","FH96","BOSS","114.8339"
"2020-10_south-west_BOSS","FH60","BOSS","114.8214"
"2020-10_south-west_BOSS","FH26","BOSS","114.8289"
"2020-10_south-west_BOSS","FH110","BOSS","114.8214"
"2020-10_south-west_BOSS","FH48","BOSS","114.8139"
"2020-10_south-west_BOSS","FH21","BOSS","114.8089"
"2020-10_south-west_BOSS","FH18","BOSS","114.8214"
"2020-10_south-west_BOSS","FH106","BOSS","114.8164"
"2020-10_south-west_BOSS","FH57","BOSS","114.8114"
"2020-10_south-west_BOSS","FH34","BOSS","114.8839"
"2020-10_south-west_BOSS","FH7","BOSS","114.8789"
"2020-10_south-west_BOSS","FH20","BOSS","114.8727"
"2020-10_south-west_BOSS","FH93","BOSS","114.8689"
"2020-10_south-west_BOSS","FH44","BOSS","114.8639"
"2020-10_south-west_BOSS","FH14","BOSS","114.8714"
"2020-10_south-west_BOSS","FH95","BOSS","114.8914"
"2020-10_south-west_BOSS","FH62","BOSS","114.8814"
"2020-10_south-west_BOSS","FH30","BOSS","114.8889"
"2020-10_south-west_BOSS","261","BOSS","114.9214"
"2020-10_south-west_BOSS","338","BOSS","114.9225"
"2020-10_south-west_BOSS","260","BOSS","114.9164"
"2020-10_south-west_BOSS","259","BOSS","114.9214"
"2020-10_south-west_BOSS","258","BOSS","114.9139"
"2020-10_south-west_BOSS","FH10","BOSS","114.8864"
"2020-10_south-west_BOSS","FH111","BOSS","114.8789"
"2020-10_south-west_BOSS","130","BOSS","114.8764"
"2020-10_south-west_BOSS","152","BOSS","114.8689"
"2020-10_south-west_BOSS","134","BOSS","114.8614"
"2020-10_south-west_BOSS","133","BOSS","114.8664"
"2020-10_south-west_BOSS","132","BOSS","114.8714"
"2020-10_south-west_BOSS","FH77","BOSS","114.8764"
"2020-10_south-west_BOSS","FH52","BOSS","114.8889"
"2020-10_south-west_BOSS","244","BOSS","114.9064"
"2020-10_south-west_BOSS","245","BOSS","114.9014"
