"scientific","australian.common.name","fishing.type","iucn.ranking"
"Othos dentex","Harlequin fish","C/R",NA
"Sillaginodes punctatus","King George whiting","C/R",NA
"Sphyraena novaehollandiae","Snook","B",NA
"Sphyrna zygaena","Smooth hammerhead","C","Vulnerable"
"Omegophora armilla","Ringed toadfish",NA,"Least Concern"
"Furgaleus macki","Whiskery shark","C","Least Concern"
"Galeorhinus galeus","School shark","C/R","Vulnerable"
"Mustelus antarcticus","Gummy shark","B/C","Least Concern"
"Chelidonichthys kumu","Red gurnard","B/C","Least Concern"
"Pterygotrigla polyommata","Latchet","B/C",NA
"Trygonoptera ovalis","Striped stingaree",NA,"Least Concern"
"Urolophus circularis","Circular stingaree",NA,"Least Concern"
