X,Y,class,BRUVid,BRUV,BRUV.date,BOSS,BOSS.date,ObjectId,GlobalID,x2,y2
114.4688721,-34.02368897,MBH,76,,,Y,7/11/2020,77,56a42635-9c24-45fd-8d4b-f524e553c5ff,114.4688721,-34.02368897
114.4663721,-34.01118897,MBH,77,,,Y,7/11/2020,78,dc6dd44b-9994-424b-bbc9-7c8b217b9512,114.4663721,-34.01118897
114.4688721,-34.01618897,MBH,78,,,Y,7/11/2020,79,ace16c2b-b213-4049-8432-f753ab78ce2e,114.4688721,-34.01618897
114.8963721,-34.10118897,MBH,79,,,,,80,df87df6d-dffa-49c6-9018-f271abcdc01d,114.8963721,-34.10118897
114.8888721,-34.09368897,MBH,80,Y,16/10/2020,Y,31/10/2020,81,6c30cb3f-c09f-43e1-a5ad-3f96ab786fec,114.8888721,-34.09368897
114.8913721,-34.09868897,MBH,81,Y,16/10/2020,Y,31/10/2020,82,0425aa9d-daf0-4a44-9ebb-e681c51a15f6,114.8913721,-34.09868897
114.8838721,-34.10368897,MBH,82,,,,,83,430a612d-326c-4292-8e57-f3a883eb3bcf,114.8838721,-34.10368897
114.5188721,-34.11368897,MBH,83,,,,,84,1d8f3636-9f15-4f8c-86ca-2c2f8fa0cbb1,114.5188721,-34.11368897
114.5113721,-34.10618897,MBH,84,,,,,85,c4369ac7-6796-452b-b984-f2beba95bb06,114.5113721,-34.10618897
114.8188721,-34.11368897,MBH,126,Y,15/10/2020,,,86,9a35000e-f4f0-4e6d-8476-68b173bf431f,114.8188721,-34.11368897
114.5213721,-34.10868897,MBH,85,,,,,87,ef56a432-c64e-495b-9622-5de0d352f2a4,114.5213721,-34.10868897
114.5138721,-34.11368897,MBH,86,,,,,88,ad441e0c-1160-44c9-90a0-bb4dfff1d8da,114.5138721,-34.11368897
114.4838721,-34.01368897,MBH,87,,,,,89,515d33d5-0dcc-49bf-95a3-382a304c6fba,114.4838721,-34.01368897
114.4888721,-34.01118897,MBH,88,,,,,90,823037b9-246b-4474-938e-5eeb7f2fbc89,114.4888721,-34.01118897
