"sample","latitude","longitude","date","time.bottom","site","location","successful.count","depth","fov.facing.up","fov.limited","fov.open","fov.total.points.annotated","broad.ascidians","broad.bryozoa","broad.consolidated","broad.crinoids","broad.hydroids","broad.invertebrate.complex","broad.macroalgae","broad.octocoral.black","broad.seagrasses","broad.sponges","broad.stony.corals","broad.unconsolidated","broad.total.points.annotated","mean.relief","sd.relief"
"FH21",-33.7937,114.8089,"20201020",11:41:29,NA,NA,NA,46.3,0,0,80,80,0,0,32,0,0,0,13,0,17,2,0,4,68,2.38181818181818,0.560783482708001
"FH18",-33.7912,114.8214,"20201020",11:55:54,NA,NA,NA,45.1,0,0,80,80,0,0,17,0,0,0,26,0,3,2,0,19,67,2.11111111111111,0.371974165600534
"FH106",-33.7887,114.8164,"20201020",12:06:58,NA,NA,NA,46.2,0,0,80,80,0,0,8,0,0,0,40,0,0,1,0,29,78,2.2,0.514204997701322
"FH57",-33.7887,114.8114,"20201020",12:18:13,NA,NA,NA,44.2,0,3,77,80,0,0,42,0,0,0,15,0,7,1,0,12,77,2.33333333333333,0.686873257446286
"FH34",-33.7862,114.8839,"20201020",12:51:20,NA,NA,NA,44.6,0,0,80,80,0,0,29,0,0,1,14,0,7,4,0,22,77,2.05084745762712,0.57004926627863
"FH7",-33.7837,114.8789,"20201020",13:04:33,NA,NA,NA,45.2,0,1,79,80,0,0,24,0,0,0,28,0,0,12,0,13,77,2.4,0.494032181755571
"FH20",-33.7827,114.8727,"20201020",13:17:56,NA,NA,NA,42.4,0,0,80,80,0,0,48,0,0,0,3,0,9,6,0,13,79,1.55,0.594466004501918
"FH93",-33.7762,114.8689,"20201020",13:32:44,NA,NA,NA,44.3,0,0,80,80,0,0,38,0,0,0,10,0,13,14,0,2,77,2.46153846153846,0.663252475422328
"FH44",-33.7712,114.8639,"20201020",13:46:18,NA,NA,NA,44.5,0,0,80,80,0,0,26,0,0,0,6,0,17,3,0,26,78,2.22950819672131,0.761433792765351
"FH14",-33.7662,114.8714,"20201020",13:59:42,NA,NA,NA,44.9,0,0,80,80,0,0,4,0,0,0,18,0,0,1,0,57,80,1.62295081967213,0.521661909229516
"FH95",-33.7587,114.8914,"20201020",14:17:10,NA,NA,NA,NA,0,0,80,80,0,0,5,0,0,0,38,0,0,3,0,29,75,2.12727272727273,0.336349986073009
"FH62",-33.7562,114.8814,"20201020",14:32:04,NA,NA,NA,45.2,0,2,78,80,0,0,12,0,0,2,21,0,2,19,0,20,76,2.53225806451613,0.619829218559273
"FH30",-33.7512,114.8889,"20201020",14:44:05,NA,NA,NA,NA,0,0,80,80,0,0,5,0,0,0,52,0,0,0,0,18,75,2,0
"261",-33.9762,114.9214,"20201030",07:00:38,NA,NA,NA,46.5,0,0,80,80,0,0,15,0,0,1,14,0,0,31,0,17,78,2.6984126984127,0.527774409130382
"338",-33.9723,114.9225,"20201030",07:16:01,NA,NA,NA,46,0,0,80,80,0,0,4,0,0,4,11,0,0,12,0,45,76,1.75,0.600141226317126
"260",-33.9712,114.9164,"20201030",07:25:21,NA,NA,NA,46.1,0,0,80,80,0,0,39,0,0,0,12,0,5,6,0,15,77,2,0.374634324632678
"259",-33.9687,114.9214,"20201030",07:39:07,NA,NA,NA,46.3,0,1,79,80,0,0,26,0,0,0,10,0,2,30,0,3,71,2.25,0.436666882304686
"258",-33.9662,114.9139,"20201030",07:48:52,NA,NA,NA,46.2,0,0,80,80,0,0,15,0,0,0,28,0,8,23,0,1,75,2.21666666666667,0.415450201656585
"FH10",-33.9862,114.8864,"20201030",08:08:24,NA,NA,NA,NA,0,0,80,80,0,0,46,0,0,0,8,0,1,0,0,13,68,1.82456140350877,0.657994979831692
"FH111",-33.9862,114.8789,"20201030",08:17:49,NA,NA,NA,NA,0,0,80,80,0,0,1,0,0,0,20,0,4,1,0,54,80,1.68333333333333,0.596363745975662
"130",-33.9812,114.8764,"20201030",08:30:30,NA,NA,NA,NA,0,0,80,80,0,0,21,0,0,0,34,0,20,3,0,0,78,2.51666666666667,0.503939284299098
"152",-33.9812,114.8689,"20201030",08:39:18,NA,NA,NA,41.9,0,0,80,80,0,0,38,0,0,0,17,0,4,1,0,13,73,1.76666666666667,0.744850494990106
"134",-33.9837,114.8614,"20201030",08:47:50,NA,NA,NA,41.3,0,0,80,80,0,0,13,0,0,0,37,0,5,3,0,10,68,2.38333333333333,0.523730641943675
"133",-33.9912,114.8664,"20201030",08:58:26,NA,NA,NA,40.5,0,0,80,80,0,0,12,0,0,0,30,0,21,4,0,0,67,2.86206896551724,0.395069430365648
"132",-33.9912,114.8714,"20201030",09:07:01,NA,NA,NA,42.7,0,0,80,80,0,0,9,0,0,0,38,0,21,0,0,6,74,2.53333333333333,0.503097748586463
"FH77",-33.9962,114.8764,"20201030",09:18:46,NA,NA,NA,42,0,0,80,80,0,0,7,0,0,0,51,0,1,1,0,20,80,2.28333333333333,0.555150511479076
"FH52",-33.9912,114.8889,"20201030",09:28:26,NA,NA,NA,42.8,0,0,80,80,0,0,36,0,0,0,8,0,14,0,0,19,77,1.45454545454545,0.538109923307766
"244",-34.0037,114.9064,"20201030",09:46:06,NA,NA,NA,45.6,0,1,79,80,0,0,10,0,0,0,20,0,0,13,0,27,70,1.75862068965517,0.779346213352052
"245",-34.0087,114.9014,"20201030",09:55:54,NA,NA,NA,45.5,0,0,80,80,0,0,18,0,0,0,21,0,1,5,0,30,75,1.86440677966102,0.433813368367013
"64",-34.0137,114.8964,"20201030",10:06:10,NA,NA,NA,NA,0,0,79,79,0,0,17,0,0,0,29,0,0,7,0,27,80,1.83333333333333,0.52615221960198
"C01",-34.015,114.8891,"20201030",10:16:53,NA,NA,NA,NA,0,1,79,80,0,0,11,0,0,0,67,0,0,1,0,0,79,2.85,0.360084735790276
"65",-34.0112,114.8889,"20201030",10:25:08,NA,NA,NA,NA,0,0,80,80,0,0,44,0,0,0,16,0,2,0,0,17,79,1.2,0.403686713879666
"272",-34.0087,114.8139,"20201030",10:52:55,NA,NA,NA,50.1,0,0,80,80,0,0,10,0,0,0,43,0,0,7,0,16,76,2.05,0.387298334620742
"337",-34.0054,114.8202,"20201030",11:01:29,NA,NA,NA,43.8,0,2,78,80,0,0,7,0,0,0,68,0,0,1,0,0,76,2.84745762711864,0.362632107772293
"273",-33.9987,114.8214,"20201030",11:09:00,NA,NA,NA,46,0,0,80,80,0,1,26,0,0,0,39,0,1,5,0,4,76,2,0.418853908291695
"328",-33.9936,114.8214,"20201030",11:16:15,NA,NA,NA,44.8,0,0,80,80,0,0,18,0,0,0,50,0,5,1,0,6,80,2.61538461538462,0.49029033784546
"269",-33.9887,114.8139,"20201030",11:26:27,NA,NA,NA,47.7,0,0,80,80,0,0,25,0,0,0,38,0,0,10,0,5,78,2.03389830508475,0.260377821961648
"145",-33.9862,114.8239,"20201030",11:36:14,NA,NA,NA,44.3,0,0,80,80,0,0,17,0,0,0,39,0,1,3,0,9,69,1.98,0.42809497325062
"147",-33.9812,114.8314,"20201030",11:45:03,NA,NA,NA,43.6,0,0,80,80,0,0,10,0,0,0,30,0,0,0,0,31,71,2.11666666666667,0.4903014177279
"158",-33.9812,114.8189,"20201030",11:57:31,NA,NA,NA,46.1,0,0,80,80,0,0,34,0,0,0,2,0,0,0,0,42,78,1.19642857142857,0.400891862868637
"146",-33.9762,114.8214,"20201030",12:05:43,NA,NA,NA,45.3,0,0,80,80,0,0,36,0,0,0,12,0,8,0,0,23,79,1.55,0.594466004501918
"157",-33.9712,114.8239,"20201030",12:14:40,NA,NA,NA,44.7,0,0,80,80,0,2,15,0,0,1,33,0,5,7,0,15,78,2.40983606557377,0.588134031785496
"OMR1",-33.9676,114.9582,"20201030",13:03:59,NA,NA,"Yes",35.6,0,1,78,79,0,0,11,0,0,0,24,0,0,0,0,44,79,1.91549295774648,1.14325948652138
"OMR2",-33.9679,114.9551,"20201030",13:15:35,NA,NA,"Yes",38,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,72,72,0.936507936507937,1.18964640820241
"OMR3",-33.9685,114.9543,"20201030",13:23:54,NA,NA,"Yes",38,0,0,80,80,0,0,0,0,0,0,18,0,0,0,0,62,80,1.25,0.436666882304686
"OMR4",-33.9682,114.9529,"20201030",13:35:02,NA,NA,"Yes",38.6,0,0,80,80,0,0,2,0,0,0,4,0,0,1,0,65,72,1.55,0.891104817970462
"216",-34.0612,114.9164,"20201031",07:01:16,NA,NA,"Yes",47.5,0,0,80,80,0,0,17,0,0,0,16,0,0,13,0,34,80,1.93333333333333,0.685606663601763
"235",-34.0912,114.9364,"20201031",07:11:46,NA,NA,"Yes",47,0,0,80,80,0,1,11,0,0,0,13,0,2,16,0,30,73,2.21875,0.744690198715877
"217",-34.0662,114.9139,"20201031",07:19:39,NA,NA,"Yes",46.3,0,0,80,80,0,0,6,0,0,0,13,0,0,0,0,61,80,1,0
"215",-34.0662,114.9189,"20201031",07:28:33,NA,NA,"Yes",46.9,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,79,79,0.87037037037037,0.339049520304525
"356",-34.0687,114.9264,"20201031",07:39:03,NA,NA,"Yes",47.2,0,0,80,80,0,0,19,0,0,0,3,0,2,35,0,19,78,2.31147540983607,0.866813774820508
"218",-34.0696,114.9185,"20201031",07:53:09,NA,NA,NA,46.5,0,0,80,80,0,0,18,0,0,0,1,0,0,0,0,61,80,0.95,0.219784177651083
"102",-34.0737,114.9214,"20201031",08:02:56,NA,NA,NA,46.4,0,0,80,80,0,0,9,0,0,0,57,0,0,8,0,5,79,2.40625,0.583333333333333
"100",-34.0712,114.9114,"20201031",08:12:11,NA,NA,NA,44.5,0,0,80,80,0,0,18,0,0,0,38,0,11,7,0,2,76,2.41666666666667,0.530163603360023
"119",-34.0762,114.9089,"20201031",08:20:22,NA,NA,NA,43.5,0,0,80,80,0,0,15,0,0,0,44,0,0,5,0,15,79,2.16666666666667,0.375823014001414
"101",-34.0762,114.9039,"20201031",08:29:57,NA,NA,NA,43.4,0,2,78,80,0,0,11,0,0,0,54,0,0,6,0,7,78,2.22222222222222,0.658552774098175
"236",-34.0787,114.8964,"20201031",08:47:27,NA,NA,NA,46,0,0,80,80,0,0,1,0,0,0,56,0,0,0,0,23,80,2.15,0.360084735790276
"237",-34.0812,114.9239,"20201031",08:57:11,NA,NA,NA,43.2,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,80,80,0.938775510204082,0.242226070825902
"C02",-34.0812,114.9364,"C02",09:07:10,NA,NA,NA,45,0,0,80,80,0,2,7,0,0,0,32,0,0,31,0,1,73,2.95384615384615,0.481883324531508
"235REDO",-34.0854,114.9279,"20201031",09:17:31,NA,NA,NA,44.3,0,0,80,80,0,0,0,0,0,0,11,0,0,0,0,69,80,0.931034482758621,0.255608593705383
"239",-34.0912,114.9364,"20201031",09:25:33,NA,NA,NA,45.3,0,4,76,80,0,0,0,0,0,0,0,0,0,0,0,76,76,0.945454545454545,0.229183883650776
"91",-34.0912,114.9314,"20201031",09:43:27,NA,NA,NA,42.7,0,0,80,80,0,0,15,0,0,0,45,0,0,3,0,17,80,2.06666666666667,0.516397779494322
"80",-34.0937,114.8939,"20201031",09:51:03,NA,NA,NA,43.1,0,0,79,79,0,0,18,0,0,0,39,0,9,2,0,9,77,2.46666666666667,0.535729082389144
"81",-34.0937,114.8889,"20201031",09:59:33,NA,NA,NA,43.3,0,1,79,80,0,0,11,0,0,0,39,0,15,3,0,6,74,2.26229508196721,0.574503824886087
"92",-34.0987,114.8914,"20201031",10:07:45,NA,NA,NA,41.3,0,0,80,80,0,0,20,0,0,0,36,0,6,0,0,18,80,2.08333333333333,0.645497224367903
"210",-34.0987,114.8864,"20201031",10:19:54,NA,NA,NA,43.9,0,0,80,80,0,0,13,0,0,0,37,0,15,5,0,9,79,2.36666666666667,0.485961101416971
"336",-34.0912,114.8739,"20201031",10:28:58,NA,NA,NA,43.1,0,0,80,80,0,0,19,0,0,0,45,0,3,2,0,11,80,2.25,0.50840394989731
"195",-34.0924,114.8664,"20201031",10:37:50,NA,NA,NA,44.4,0,1,79,80,0,0,14,0,0,0,47,0,10,3,0,2,76,2.2258064516129,0.421525521414298
"199",-34.0937,114.8589,"20201031",10:47:22,NA,NA,NA,42.7,0,0,80,80,0,0,19,0,0,0,46,0,4,2,0,6,77,2.15254237288136,0.362632107772293
"16",-34.0862,114.8614,"20201031",11:16:16,NA,NA,NA,41.4,0,0,80,80,0,0,15,0,0,0,35,0,4,11,0,7,72,2.30769230769231,0.556862778291164
"17",-34.0737,114.8689,"20201031",11:26:32,NA,NA,NA,41,0,0,80,80,0,0,0,0,0,0,70,0,2,2,0,4,78,2.36842105263158,0.486664263392288
"34",-34.0637,114.8764,"20201031",11:34:38,NA,NA,NA,41.4,0,0,80,80,0,0,16,0,0,0,46,0,10,0,0,7,79,2.28333333333333,0.454419602505485
"15",-34.0612,114.8714,"20201031",11:42:46,NA,NA,NA,41.6,0,0,80,80,0,0,10,0,0,0,44,0,15,2,0,8,79,2.33898305084746,0.544887507894517
"223",-34.0612,114.8664,"20201031",11:58:00,NA,NA,NA,44.2,0,0,80,80,0,0,18,0,0,0,12,0,8,7,0,33,78,2.0625,0.663683803084112
"225",-34.0712,114.8464,"20201031",12:09:16,NA,NA,NA,45.2,0,0,80,80,0,0,14,0,1,0,55,0,0,1,0,9,80,2.06349206349206,0.245804529802605
"222",-34.0712,114.8339,"20201031",12:18:32,NA,NA,NA,46.9,0,0,80,80,0,0,48,0,0,0,22,0,0,4,0,4,78,1.921875,0.599065078479766
"C03.1",-34.0662,114.8314,"20201031",12:28:05,NA,NA,NA,42.4,0,18,62,80,0,0,6,0,0,0,46,0,0,9,0,0,61,2.9375,0.639320075337979
"C03.2",-34.0664,114.8398,"20201031",12:35:55,NA,NA,NA,43.4,0,15,65,80,0,0,15,0,0,0,35,0,0,11,0,0,61,3.26666666666667,1.00619549717293
"226",-34.0664,114.8398,"20201031",12:43:58,NA,NA,NA,44,0,0,80,80,0,0,14,0,0,0,44,0,4,2,0,10,74,2.484375,0.590726953281576
"224",-34.0637,114.8439,"20201031",12:53:00,NA,NA,NA,44.9,0,0,80,80,0,0,31,0,0,0,23,0,3,1,0,22,80,1.69491525423729,0.500146092041101
"220",-34.0612,114.8389,"20201031",13:01:48,NA,NA,NA,43.9,0,0,80,80,0,0,10,0,0,0,62,0,0,0,0,6,78,2.43333333333333,0.499717434280908
"353",-34.0562,114.8439,"20201031",13:11:00,NA,NA,NA,45,0,0,80,80,0,0,0,0,0,0,78,0,0,0,0,1,79,2.71666666666667,0.454419602505485
"201",-34.0544,114.8391,"20201031",13:19:40,NA,NA,NA,46.3,0,0,80,80,0,0,28,0,0,0,21,0,0,2,0,29,80,1.16666666666667,0.375823014001414
"72",-34.0562,114.8339,"20201031",13:36:24,NA,NA,NA,43.3,0,0,80,80,0,0,7,0,0,0,49,0,9,2,0,13,80,2.24590163934426,0.434194184857345
"75",-34.0362,114.8464,"20201031",13:45:35,NA,NA,NA,42.6,0,0,80,80,0,0,14,0,0,4,30,0,14,3,0,15,80,2.51666666666667,0.536519437993287
"74",-34.0337,114.8539,"20201031",13:55:30,NA,NA,NA,43.2,0,0,80,80,0,0,28,0,0,0,26,0,15,5,0,6,80,2.31666666666667,0.724666297641786
"73",-34.0287,114.8514,"20201031",14:03:39,NA,NA,NA,42.2,0,0,80,80,0,0,7,0,0,0,37,0,24,1,0,4,73,2.6,0.527224906178488
"264",-34.0287,114.8589,"20201031",14:24:30,NA,NA,NA,42.4,0,0,80,80,0,0,38,0,0,0,13,0,7,6,0,14,78,1.47457627118644,0.503639587998848
"66",-34.0187,114.8739,"20201031",14:33:06,NA,NA,NA,42.5,0,0,80,80,0,0,14,0,0,0,37,0,15,0,0,6,72,2.48333333333333,0.503939284299098
"339",-34.0162,114.8814,"20201031",14:40:57,NA,NA,NA,42.1,0,0,80,80,0,2,2,0,0,2,27,0,11,19,5,0,68,2.84745762711864,0.362632107772293
"262",-34.0146,114.8785,"20201031",14:48:37,NA,NA,NA,42.1,0,0,80,80,0,0,13,0,0,0,43,0,5,2,0,8,71,2.10169491525424,0.304841126187198
"263",-34.0137,114.8739,"20201031",14:57:46,NA,NA,NA,42.6,0,0,80,80,0,0,10,0,0,0,45,0,20,2,0,2,79,2.33333333333333,0.475382688541528
"278",-34.0087,114.8789,"20201104",07:43:00,NA,NA,"Yes",140,0,0,80,80,0,0,0,0,0,4,0,0,0,1,0,74,79,0.905660377358491,0.295097828850303
"40",-34.1112,114.6389,"20201104",10:31:33,NA,NA,"Yes",130,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,80,80,0.690909090909091,0.466377977083414
"36",-34.1037,114.7139,"20201104",10:42:42,NA,NA,"Yes",129,0,0,80,80,0,0,1,0,0,0,0,0,0,0,0,78,79,0.466666666666667,0.503097748586463
"37",-34.1037,114.7189,"20201104",10:54:04,NA,NA,"Yes",129,0,0,80,80,0,0,0,0,0,1,0,0,0,0,0,79,80,0.55,0.501692052213544
"308",-34.1087,114.7189,"20201104",11:08:18,NA,NA,"Yes",125,0,0,80,80,0,0,0,0,0,2,0,0,0,0,0,78,80,0.862068965517241,0.347839238026982
"333",-34.1112,114.7289,"20201104",11:20:14,NA,NA,"Yes",125,0,0,80,80,0,0,2,0,1,3,0,0,0,2,0,72,80,1.41666666666667,0.618682763281733
"307",-34.113,114.7251,"20201104",12:18:00,NA,NA,"Yes",119,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,78,78,0.653061224489796,0.48092880658867
"95",-34.1187,114.7264,"20201104",12:33:38,NA,NA,"Yes",127,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,78,78,0.02,0.14142135623731
"98",-34.1262,114.7339,"20201104",12:50:15,NA,NA,"Yes",128,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,78,78,0.60377358490566,0.493793114632085
"110",-34.1337,114.7314,"20201104",13:03:23,NA,NA,"Yes",129,0,0,80,80,0,0,0,0,0,0,0,0,0,1,0,79,80,0.37037037037037,0.487438290097003
"96",-34.1412,114.7289,"20201104",13:16:25,NA,NA,"Yes",126,0,0,80,80,0,0,0,0,0,1,0,0,0,0,0,76,77,0.368421052631579,0.586502312362036
"377",-34.1362,114.7364,"20201104",13:36:50,NA,NA,"Yes",115,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,80,80,1,0
"59",-34.1387,114.7589,"20201104",13:49:33,NA,NA,"Yes",110,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,74,74,1,0
"58",-34.1412,114.7664,"20201104",14:02:50,NA,NA,"Yes",94.3,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,77,77,1.05084745762712,0.221571877771722
"62",-34.1362,114.7739,"20201104",14:13:05,NA,NA,"Yes",108,0,0,80,80,0,0,0,0,0,1,0,0,0,0,0,74,75,1,0.181071492085037
"297",-34.1337,114.7664,"20201104",14:33:05,NA,NA,"Yes",115,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,79,79,1,0
"295",-34.1062,114.7489,"20201104",14:43:23,NA,NA,"Yes",112,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,80,80,0.574074074074074,0.499125720611092
"331",-34.1037,114.7539,"20201104",14:53:29,NA,NA,"Yes",111,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,78,78,1,0
"313",-34.0984,114.7501,"20201104",15:04:00,NA,NA,"Yes",105,0,0,80,80,0,0,0,0,0,0,0,0,0,1,0,75,76,1,0
"282",-34.1262,114.7339,"20201107",06:52:16,NA,NA,NA,147,0,0,80,80,0,0,0,0,1,4,0,0,0,0,0,71,76,0.964912280701754,0.264906471413009
"265",-34.1462,114.5439,"20201107",07:07:03,NA,NA,NA,148,0,0,80,80,0,0,0,0,0,11,0,0,0,7,0,61,79,1.05,0.428833656660419
"340",-34.1487,114.5364,"20201107",07:21:23,NA,NA,NA,148,0,0,80,80,0,0,0,0,1,6,0,0,0,10,0,55,72,1.16071428571429,0.496415724396973
"281",-34.143,114.5378,"20201107",07:34:00,NA,NA,NA,147,0,0,80,80,0,0,0,0,1,5,0,0,0,6,0,60,72,1.03571428571429,0.267261241912424
"283",-34.1387,114.5414,"20201107",07:44:40,NA,NA,NA,149,0,0,80,80,0,0,0,0,0,7,0,0,0,3,0,69,79,0.933333333333333,0.482460735792998
"342",-34.1387,114.5364,"20201107",08:22:30,NA,NA,NA,229,0,0,80,80,0,0,10,0,0,18,0,0,0,22,0,3,53,2.08,0.751596939312338
"288",-34.0958,114.4752,"20201107",08:39:29,NA,NA,NA,201,0,0,80,80,0,0,0,0,0,0,0,0,0,3,0,64,67,0.644444444444444,0.484090316308263
"274",-34.0912,114.4814,"20201107",08:51:59,NA,NA,NA,218,0,7,73,80,0,1,0,0,0,4,0,0,0,3,0,49,57,1,0
"286",-34.0787,114.4739,"20201107",09:13:10,NA,NA,NA,203,0,0,80,80,0,0,0,0,0,1,0,0,0,1,0,61,63,0.666666666666667,0.476731294622796
"285",-34.0787,114.4789,"20201107",09:26:10,NA,NA,NA,215,0,0,80,80,0,1,0,0,0,10,0,0,0,12,0,41,64,1.18,0.388087934491604
"341",-34.0737,114.4764,"20201107",09:39:17,NA,NA,NA,215,0,0,80,80,0,0,0,0,0,14,0,1,0,32,0,17,64,1.92452830188679,0.266678761215811
"284",-34.0725,114.4776,"20201107",10:33:35,NA,NA,"Yes",230,0,4,76,80,0,0,0,0,0,0,0,0,0,4,0,38,42,1,0
"321",-34.0662,114.4764,"20201107",10:54:39,NA,NA,"Yes",242,0,0,80,80,0,1,0,0,0,1,0,0,0,3,0,48,53,0.894736842105263,0.311011747775905
"358",-34.0482,114.4681,"20201107",11:08:35,NA,NA,"Yes",213,0,0,80,80,0,0,0,0,0,0,0,0,0,2,0,55,57,0.708333333333333,0.459339643185104
"360",-34.0462,114.4764,"20201107",11:22:49,NA,NA,"Yes",255,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,56,56,0.0612244897959184,0.242226070825902
"248",-34.0437,114.4714,"20201107",11:36:00,NA,NA,"Yes",154,0,0,80,80,0,0,0,0,0,1,0,0,0,9,0,38,48,1.2,0.571428571428571
"135",-34.0362,114.4889,"20201107",11:51:47,NA,NA,"Yes",170,0,0,80,80,0,0,0,0,5,4,0,0,0,6,0,36,51,1.47169811320755,0.638621519816937
"247",-34.0337,114.4839,"20201107",12:03:22,NA,NA,"Yes",197,0,0,80,80,0,0,0,0,1,3,0,0,0,7,0,40,51,1.17307692307692,0.648411447872046
"136",-34.0337,114.4789,"20201107",12:16:17,NA,NA,"Yes",180,0,0,80,80,0,1,1,0,0,7,0,0,0,11,0,39,59,1.51724137931034,0.842747788754557
"76",-34.0287,114.4789,"20201107",12:33:47,NA,NA,"Yes",233,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,53,53,0.222222222222222,0.420437482591261
"78",-34.0237,114.4689,"20201107",12:49:14,NA,NA,"Yes",219,0,0,80,80,0,0,0,0,0,3,0,0,0,1,0,56,60,0.9375,0.244623027395041
"63",-34.0162,114.4689,"20201107",13:02:42,NA,NA,"Yes",203,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,54,54,0.96078431372549,0.344138594971589
"77",-34.0112,114.4739,"20201107",13:16:24,NA,NA,"Yes",221,0,0,80,80,0,0,0,0,0,0,0,0,0,2,0,64,66,0.454545454545455,0.503686200509315
"347",-34.0112,114.4664,"20201107",13:44:04,NA,NA,NA,146,0,0,80,80,0,0,0,0,0,3,0,0,0,1,0,65,69,0.934426229508197,0.249589827451387
"322",-34.0287,114.5414,"20201107",13:56:13,NA,NA,NA,145,0,0,80,80,0,0,0,0,2,0,0,0,0,4,0,54,60,0.789473684210526,0.452644692938195
"346",-34.0327,114.5439,"20201107",14:08:00,NA,NA,NA,145,0,0,80,80,0,0,0,0,4,1,0,0,0,2,0,57,64,0.879310344827586,0.422091127056978
"345",-34.0262,114.5464,"20201107",14:17:40,NA,NA,NA,146,0,0,80,80,0,0,0,0,0,1,0,0,0,3,0,61,65,0.827586206896552,0.381038794105574
"49",-34.0287,114.5514,"20201108",07:03:31,NA,NA,"Yes",130,0,0,80,80,0,0,0,0,1,3,0,0,0,0,0,69,73,0.830188679245283,0.379060024504126
"47",-34.0612,114.7064,"20201108",07:14:14,NA,NA,"Yes",127,0,0,80,80,0,0,0,0,0,0,0,0,0,1,0,79,80,0.709090909090909,0.458367767301552
"46",-34.0637,114.7114,"20201108",07:25:59,NA,NA,"Yes",125,0,1,79,80,0,1,1,0,0,35,0,0,0,3,0,22,62,2.18181818181818,0.669187154547551
"290",-34.0687,114.7114,"20201108",07:38:01,NA,NA,"Yes",124,0,0,80,80,0,0,0,0,0,0,0,0,0,1,0,72,73,0.407407407407407,0.495965554134046
"302",-34.0687,114.7189,"20201108",07:48:30,NA,NA,"Yes",122,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,62,62,0.92156862745098,0.271524382323353
"329",-34.0712,114.7239,"20201108",07:59:37,NA,NA,"Yes",118,0,5,75,80,0,0,0,0,1,24,0,0,0,11,0,23,59,2.05084745762712,0.70524460940035
"117",-34.0648,114.7266,"20201108",08:11:19,NA,NA,"Yes",112,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,76,76,1,0
"113",-34.0637,114.7389,"20201108",08:21:39,NA,NA,"Yes",111,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,80,80,1,0
"115",-34.0587,114.7389,"20201108",08:31:25,NA,NA,"Yes",111,0,0,80,80,0,0,0,0,0,2,0,0,0,0,0,76,78,0.898305084745763,0.356946593814493
