"campaignid","sample","filename","periodtime","family","genus","species","maxn","dataset","planned.or.exploratory","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","commonwealth.zone","state.zone","raw.hdd.number","con.hdd.number"
"2021-03_West-Coast_BOSS","105","20210311_0735-1315_TOP_0006.mp4","2.67378","Labridae","Suezichthys","bifurcatus",4,NA,NA,"-34.0534","114.76","20210311",NA,"West Coast","No-take",NA,"79.3","Claude","Yes","No",NA,NA,"RAW3","CON1"
"2021-03_West-Coast_BOSS","105","20210311_0735-1315_TOP_0006.mp4","2.29229","Monacanthidae","Meuschenia","scaber",2,NA,NA,"-34.0534","114.76","20210311",NA,"West Coast","No-take",NA,"79.3","Claude","Yes","No",NA,NA,"RAW3","CON1"
"2021-03_West-Coast_BOSS","105","20210311_0735-1315_TOP_0006.mp4","2.08097","Scorpididae","Neatypus","obliquus",5,NA,NA,"-34.0534","114.76","20210311",NA,"West Coast","No-take",NA,"79.3","Claude","Yes","No",NA,NA,"RAW3","CON1"
"2021-03_West-Coast_BOSS","105","20210311_0735-1315_TOP_0005.mp4","1.48065","Serranidae","Caesioperca","spp",15,NA,NA,"-34.0534","114.76","20210311",NA,"West Coast","No-take",NA,"79.3","Claude","Yes","No",NA,NA,"RAW3","CON1"
"2021-03_West-Coast_BOSS","106","20210308_0735-1537_TOP_0156.mp4","2.79279","Labridae","Dotalabrus","aurantiacus",3,NA,NA,"-34.1313","114.875","20210308",NA,"West Coast","No-take",NA,"43.9","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","106","20210308_0735-1537_TOP_0156.mp4","1.50595","Labridae","Ophthalmolepis","lineolatus",1,NA,NA,"-34.1313","114.875","20210308",NA,"West Coast","No-take",NA,"43.9","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","106","20210308_0735-1537_TOP_0155.mp4","0.77800","Labridae","Pseudolabrus","biserialis",10,NA,NA,"-34.1313","114.875","20210308",NA,"West Coast","No-take",NA,"43.9","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","106","20210308_0735-1537_TOP_0156.mp4","2.07263","Pomacentridae","Chromis","klunzingeri",14,NA,NA,"-34.1313","114.875","20210308",NA,"West Coast","No-take",NA,"43.9","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","106","20210308_0735-1537_TOP_0156.mp4","2.64876","Scorpididae","Neatypus","obliquus",4,NA,NA,"-34.1313","114.875","20210308",NA,"West Coast","No-take",NA,"43.9","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","107","20210308_0735-1537_TOP_0119.mp4","0.78884","Labridae","Austrolabrus","maculatus",1,NA,NA,"-34.1347","114.94","20210308",NA,"West Coast","No-take",NA,"44.4","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","107","20210308_0735-1537_TOP_0119.mp4","1.45590","Labridae","Ophthalmolepis","lineolatus",3,NA,NA,"-34.1347","114.94","20210308",NA,"West Coast","No-take",NA,"44.4","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","107","20210308_0735-1537_TOP_0119.mp4","1.43616","Labridae","Pseudolabrus","biserialis",4,NA,NA,"-34.1347","114.94","20210308",NA,"West Coast","No-take",NA,"44.4","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","107","20210308_0735-1537_TOP_0120.mp4","2.62318","Mullidae","Upeneichthys","vlamingii",1,NA,NA,"-34.1347","114.94","20210308",NA,"West Coast","No-take",NA,"44.4","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","107","20210308_0735-1537_TOP_0120.mp4","2.95935","Scorpididae","Neatypus","obliquus",3,NA,NA,"-34.1347","114.94","20210308",NA,"West Coast","No-take",NA,"44.4","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","108","20210309_0735-1530_TOP_0010_0001.mp4","0.48159","Labridae","Coris","auricularis",26,NA,NA,"-34.1001","114.85","20210309",NA,"West Coast","No-take",NA,"44.1","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","108","20210309_0735-1530_TOP_0010_0001.mp4","2.07151","Labridae","Ophthalmolepis","lineolatus",2,NA,NA,"-34.1001","114.85","20210309",NA,"West Coast","No-take",NA,"44.1","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","108","20210309_0735-1530_TOP_0010_0001.mp4","0.89339","Labridae","Pseudolabrus","biserialis",4,NA,NA,"-34.1001","114.85","20210309",NA,"West Coast","No-take",NA,"44.1","Claude","Yes","No",NA,NA,"RAW2","CON1"
