"campaignid","sample","family","genus","species","maxn","id"
"2020-10_south-west_BOSS","207","Labridae","Eupetrichthys","angustipes",1,"2020-10_south-west_BOSS 207"
"2020-10_south-west_BOSS","207","Labridae","Pseudolabrus","biserialis",1,"2020-10_south-west_BOSS 207"
"2020-10_south-west_BOSS","207","Labridae","Suezichthys","bifurcatus",3,"2020-10_south-west_BOSS 207"
"2020-10_south-west_BOSS","207","Monacanthidae","Meuschenia","scaber",1,"2020-10_south-west_BOSS 207"
"2020-10_south-west_BOSS","207","Mullidae","Parupeneus","chrysopleuron",1,"2020-10_south-west_BOSS 207"
"2020-10_south-west_BOSS","207","Scorpididae","Neatypus","obliquus",1,"2020-10_south-west_BOSS 207"
"2020-10_south-west_BOSS","207","SUS","SUS","sus",2,"2020-10_south-west_BOSS 207"
"2020-10_south-west_BOSS","215","Platycephalidae","Platycephalus","spp",3,"2020-10_south-west_BOSS 215"
"2020-10_south-west_BOSS","216","Labridae","Austrolabrus","maculatus",1,"2020-10_south-west_BOSS 216"
"2020-10_south-west_BOSS","216","Labridae","Ophthalmolepis","lineolatus",3,"2020-10_south-west_BOSS 216"
"2020-10_south-west_BOSS","216","Serranidae","Caesioperca","spp",4,"2020-10_south-west_BOSS 216"
"2020-10_south-west_BOSS","217","Carangidae","Pseudocaranx","spp",3,"2020-10_south-west_BOSS 217"
"2020-10_south-west_BOSS","217","Labridae","Coris","auricularis",7,"2020-10_south-west_BOSS 217"
"2020-10_south-west_BOSS","217","Scorpididae","Tilodon","sexfasciatus",1,"2020-10_south-west_BOSS 217"
"2020-10_south-west_BOSS","227","Labridae","Coris","auricularis",1,"2020-10_south-west_BOSS 227"
"2020-10_south-west_BOSS","227","Labridae","Eupetrichthys","angustipes",1,"2020-10_south-west_BOSS 227"
"2020-10_south-west_BOSS","227","Labridae","Ophthalmolepis","lineolatus",4,"2020-10_south-west_BOSS 227"
"2020-10_south-west_BOSS","227","Labridae","Pseudolabrus","biserialis",4,"2020-10_south-west_BOSS 227"
"2020-10_south-west_BOSS","227","Mullidae","Parupeneus","chrysopleuron",1,"2020-10_south-west_BOSS 227"
"2020-10_south-west_BOSS","228","Labridae","Pseudolabrus","biserialis",1,"2020-10_south-west_BOSS 228"
"2020-10_south-west_BOSS","228","Scorpididae","Neatypus","obliquus",2,"2020-10_south-west_BOSS 228"
"2020-10_south-west_BOSS","228","SUS","SUS","sus",1,"2020-10_south-west_BOSS 228"
"2020-10_south-west_BOSS","229","Labridae","Coris","auricularis",5,"2020-10_south-west_BOSS 229"
"2020-10_south-west_BOSS","229","Labridae","Ophthalmolepis","lineolatus",3,"2020-10_south-west_BOSS 229"
"2020-10_south-west_BOSS","229","Labridae","Pseudolabrus","biserialis",2,"2020-10_south-west_BOSS 229"
"2020-10_south-west_BOSS","229","Labridae","Suezichthys","bifurcatus",1,"2020-10_south-west_BOSS 229"
"2020-10_south-west_BOSS","229","Scorpididae","Neatypus","obliquus",1,"2020-10_south-west_BOSS 229"
"2020-10_south-west_BOSS","229","Serranidae","Caesioperca","spp",2,"2020-10_south-west_BOSS 229"
"2020-10_south-west_BOSS","235","Cheilodactylidae","Nemadactylus","valenciennesi",1,"2020-10_south-west_BOSS 235"
"2020-10_south-west_BOSS","235","Enoplosidae","Enoplosus","armatus",2,"2020-10_south-west_BOSS 235"
"2020-10_south-west_BOSS","235","Labridae","Austrolabrus","maculatus",1,"2020-10_south-west_BOSS 235"
"2020-10_south-west_BOSS","235","Labridae","Bodianus","frenchii",1,"2020-10_south-west_BOSS 235"
"2020-10_south-west_BOSS","235","Labridae","Choerodon","rubescens",1,"2020-10_south-west_BOSS 235"
"2020-10_south-west_BOSS","235","Labridae","Ophthalmolepis","lineolatus",1,"2020-10_south-west_BOSS 235"
"2020-10_south-west_BOSS","235","Labridae","Pseudolabrus","biserialis",5,"2020-10_south-west_BOSS 235"
"2020-10_south-west_BOSS","235","Pomacentridae","Chromis","klunzingeri",9,"2020-10_south-west_BOSS 235"
"2020-10_south-west_BOSS","235","Pomacentridae","Parma","bicolor",1,"2020-10_south-west_BOSS 235"
"2020-10_south-west_BOSS","235","Scorpididae","Neatypus","obliquus",13,"2020-10_south-west_BOSS 235"
"2020-10_south-west_BOSS","235","Scorpididae","Scorpis","aequipinnis",2,"2020-10_south-west_BOSS 235"
"2020-10_south-west_BOSS","235","Serranidae","Caesioperca","spp",4,"2020-10_south-west_BOSS 235"
"2020-10_south-west_BOSS","241","Labridae","Austrolabrus","maculatus",1,"2020-10_south-west_BOSS 241"
"2020-10_south-west_BOSS","241","Labridae","Coris","auricularis",9,"2020-10_south-west_BOSS 241"
"2020-10_south-west_BOSS","241","Labridae","Ophthalmolepis","lineolatus",1,"2020-10_south-west_BOSS 241"
"2020-10_south-west_BOSS","241","Labridae","Pseudolabrus","biserialis",3,"2020-10_south-west_BOSS 241"
"2020-10_south-west_BOSS","241","Mullidae","Parupeneus","chrysopleuron",1,"2020-10_south-west_BOSS 241"
"2020-10_south-west_BOSS","241","Scorpididae","Neatypus","obliquus",2,"2020-10_south-west_BOSS 241"
"2020-10_south-west_BOSS","241","Serranidae","Caesioperca","spp",3,"2020-10_south-west_BOSS 241"
"2020-10_south-west_BOSS","247","Monacanthidae","Nelusetta","ayraud",1,"2020-10_south-west_BOSS 247"
"2020-10_south-west_BOSS","247","Serranidae","Caesioperca","spp",1,"2020-10_south-west_BOSS 247"
"2020-10_south-west_BOSS","247","SUS","SUS","sus",1,"2020-10_south-west_BOSS 247"
"2020-10_south-west_BOSS","248","Callanthiidae","Callanthias","australis",1,"2020-10_south-west_BOSS 248"
"2020-10_south-west_BOSS","248","Gerreidae","Parequula","elongata",2,"2020-10_south-west_BOSS 248"
"2020-10_south-west_BOSS","248","Labridae","Bodianus","vulpinus",1,"2020-10_south-west_BOSS 248"
"2020-10_south-west_BOSS","248","Serranidae","Caesioperca","spp",1,"2020-10_south-west_BOSS 248"
"2020-10_south-west_BOSS","248","SUS","SUS","sus",1,"2020-10_south-west_BOSS 248"
"2020-10_south-west_BOSS","250","Monacanthidae","Nelusetta","ayraud",1,"2020-10_south-west_BOSS 250"
"2020-10_south-west_BOSS","251","SUS","SUS","sus",1,"2020-10_south-west_BOSS 251"
"2020-10_south-west_BOSS","253","Neosebastidae","Neosebastes","pandus",1,"2020-10_south-west_BOSS 253"
"2020-10_south-west_BOSS","254","Monacanthidae","Nelusetta","ayraud",2,"2020-10_south-west_BOSS 254"
"2020-10_south-west_BOSS","254","Oplegnathidae","Oplegnathus","woodwardi",1,"2020-10_south-west_BOSS 254"
"2020-10_south-west_BOSS","266","Diodontidae","Diodon","nicthemerus",1,"2020-10_south-west_BOSS 266"
"2020-10_south-west_BOSS","266","Labridae","Coris","auricularis",2,"2020-10_south-west_BOSS 266"
"2020-10_south-west_BOSS","266","Labridae","Suezichthys","bifurcatus",3,"2020-10_south-west_BOSS 266"
"2020-10_south-west_BOSS","267","Berycidae","Centroberyx","sp1",51,"2020-10_south-west_BOSS 267"
"2020-10_south-west_BOSS","267","Cheilodactylidae","Nemadactylus","valenciennesi",1,"2020-10_south-west_BOSS 267"
"2020-10_south-west_BOSS","267","Labridae","Coris","auricularis",4,"2020-10_south-west_BOSS 267"
"2020-10_south-west_BOSS","267","Labridae","Suezichthys","bifurcatus",1,"2020-10_south-west_BOSS 267"
"2020-10_south-west_BOSS","267","Pomacentridae","Chromis","klunzingeri",7,"2020-10_south-west_BOSS 267"
"2020-10_south-west_BOSS","267","Scorpididae","Neatypus","obliquus",12,"2020-10_south-west_BOSS 267"
"2020-10_south-west_BOSS","267","Serranidae","Caesioperca","spp",11,"2020-10_south-west_BOSS 267"
"2020-10_south-west_BOSS","267","Sparidae","Chrysophrys","auratus",1,"2020-10_south-west_BOSS 267"
"2020-10_south-west_BOSS","275","Callanthiidae","Callanthias","australis",27,"2020-10_south-west_BOSS 275"
"2020-10_south-west_BOSS","275","Monacanthidae","Nelusetta","ayraud",2,"2020-10_south-west_BOSS 275"
"2020-10_south-west_BOSS","275","Neosebastidae","Neosebastes","pandus",1,"2020-10_south-west_BOSS 275"
"2020-10_south-west_BOSS","276","Callanthiidae","Callanthias","australis",24,"2020-10_south-west_BOSS 276"
"2020-10_south-west_BOSS","276","Gerreidae","Parequula","elongata",2,"2020-10_south-west_BOSS 276"
"2020-10_south-west_BOSS","276","Gerreidae","Parequula","elongata",2,"2020-10_south-west_BOSS 276"
"2020-10_south-west_BOSS","278","Callanthiidae","Callanthias","australis",108,"2020-10_south-west_BOSS 278"
"2020-10_south-west_BOSS","278","Monacanthidae","Nelusetta","ayraud",2,"2020-10_south-west_BOSS 278"
"2020-10_south-west_BOSS","278REDO","Callanthiidae","Callanthias","australis",6,"2020-10_south-west_BOSS 278REDO"
"2020-10_south-west_BOSS","278REDO","Gerreidae","Parequula","elongata",1,"2020-10_south-west_BOSS 278REDO"
"2020-10_south-west_BOSS","278REDO","Monacanthidae","Nelusetta","ayraud",1,"2020-10_south-west_BOSS 278REDO"
"2020-10_south-west_BOSS","278REDO","Oplegnathidae","Oplegnathus","woodwardi",1,"2020-10_south-west_BOSS 278REDO"
"2020-10_south-west_BOSS","284","Berycidae","Centroberyx","gerrardi",1,"2020-10_south-west_BOSS 284"
"2020-10_south-west_BOSS","284","Oplegnathidae","Oplegnathus","woodwardi",3,"2020-10_south-west_BOSS 284"
"2020-10_south-west_BOSS","284","Squalidae","Squalus","spp",3,"2020-10_south-west_BOSS 284"
"2020-10_south-west_BOSS","290","Oplegnathidae","Oplegnathus","woodwardi",1,"2020-10_south-west_BOSS 290"
"2020-10_south-west_BOSS","297","Monacanthidae","Nelusetta","ayraud",4,"2020-10_south-west_BOSS 297"
"2020-10_south-west_BOSS","297","Neosebastidae","Neosebastes","pandus",2,"2020-10_south-west_BOSS 297"
"2020-10_south-west_BOSS","3","Labridae","Coris","auricularis",1,"2020-10_south-west_BOSS 3"
"2020-10_south-west_BOSS","3","Labridae","Suezichthys","bifurcatus",3,"2020-10_south-west_BOSS 3"
"2020-10_south-west_BOSS","3","Scorpididae","Neatypus","obliquus",4,"2020-10_south-west_BOSS 3"
"2020-10_south-west_BOSS","3","Serranidae","Caesioperca","spp",3,"2020-10_south-west_BOSS 3"
"2020-10_south-west_BOSS","3","SUS","SUS","sus",4,"2020-10_south-west_BOSS 3"
"2020-10_south-west_BOSS","302","Oplegnathidae","Oplegnathus","woodwardi",1,"2020-10_south-west_BOSS 302"
"2020-10_south-west_BOSS","308","Labridae","Suezichthys","bifurcatus",1,"2020-10_south-west_BOSS 308"
"2020-10_south-west_BOSS","310","Labridae","Coris","auricularis",26,"2020-10_south-west_BOSS 310"
"2020-10_south-west_BOSS","310","Labridae","Suezichthys","bifurcatus",3,"2020-10_south-west_BOSS 310"
"2020-10_south-west_BOSS","310","Mullidae","Parupeneus","chrysopleuron",1,"2020-10_south-west_BOSS 310"
"2020-10_south-west_BOSS","310","Serranidae","Caesioperca","spp",4,"2020-10_south-west_BOSS 310"
"2020-10_south-west_BOSS","310","SUS","SUS","sus",1,"2020-10_south-west_BOSS 310"
"2020-10_south-west_BOSS","311","Labridae","Coris","auricularis",2,"2020-10_south-west_BOSS 311"
"2020-10_south-west_BOSS","311","Labridae","Suezichthys","bifurcatus",1,"2020-10_south-west_BOSS 311"
"2020-10_south-west_BOSS","311","Labridae","Unknown","spp",1,"2020-10_south-west_BOSS 311"
"2020-10_south-west_BOSS","311","Sparidae","Chrysophrys","auratus",1,"2020-10_south-west_BOSS 311"
"2020-10_south-west_BOSS","312","Labridae","Coris","auricularis",23,"2020-10_south-west_BOSS 312"
"2020-10_south-west_BOSS","313","SUS","SUS","sus",1,"2020-10_south-west_BOSS 313"
"2020-10_south-west_BOSS","321","Oplegnathidae","Oplegnathus","woodwardi",4,"2020-10_south-west_BOSS 321"
"2020-10_south-west_BOSS","321","Squalidae","Squalus","spp",1,"2020-10_south-west_BOSS 321"
"2020-10_south-west_BOSS","321","SUS","SUS","sus",14,"2020-10_south-west_BOSS 321"
"2020-10_south-west_BOSS","324","Monacanthidae","Nelusetta","ayraud",1,"2020-10_south-west_BOSS 324"
"2020-10_south-west_BOSS","324","Oplegnathidae","Oplegnathus","woodwardi",1,"2020-10_south-west_BOSS 324"
"2020-10_south-west_BOSS","325","Labridae","Coris","auricularis",1,"2020-10_south-west_BOSS 325"
"2020-10_south-west_BOSS","325","Labridae","Suezichthys","bifurcatus",1,"2020-10_south-west_BOSS 325"
"2020-10_south-west_BOSS","325","Scorpididae","Neatypus","obliquus",10,"2020-10_south-west_BOSS 325"
"2020-10_south-west_BOSS","325","Serranidae","Caesioperca","spp",2,"2020-10_south-west_BOSS 325"
"2020-10_south-west_BOSS","325","Sparidae","Chrysophrys","auratus",1,"2020-10_south-west_BOSS 325"
"2020-10_south-west_BOSS","326","Berycidae","Centroberyx","sp1",612,"2020-10_south-west_BOSS 326"
"2020-10_south-west_BOSS","326","Callanthiidae","Callanthias","australis",16,"2020-10_south-west_BOSS 326"
"2020-10_south-west_BOSS","326","Enoplosidae","Enoplosus","armatus",1,"2020-10_south-west_BOSS 326"
"2020-10_south-west_BOSS","326","Monacanthidae","Meuschenia","scaber",1,"2020-10_south-west_BOSS 326"
"2020-10_south-west_BOSS","326","Neosebastidae","Neosebastes","nigropunctatus",1,"2020-10_south-west_BOSS 326"
"2020-10_south-west_BOSS","326","Oplegnathidae","Oplegnathus","woodwardi",1,"2020-10_south-west_BOSS 326"
"2020-10_south-west_BOSS","326","Scorpididae","Neatypus","obliquus",5,"2020-10_south-west_BOSS 326"
"2020-10_south-west_BOSS","326","Serranidae","Caesioperca","spp",39,"2020-10_south-west_BOSS 326"
"2020-10_south-west_BOSS","327","Carangidae","Seriola","hippos",1,"2020-10_south-west_BOSS 327"
"2020-10_south-west_BOSS","327","Carangidae","Seriola","lalandi",55,"2020-10_south-west_BOSS 327"
"2020-10_south-west_BOSS","327","Glaucosomatidae","Glaucosoma","hebraicum",1,"2020-10_south-west_BOSS 327"
"2020-10_south-west_BOSS","327","Labridae","Coris","auricularis",3,"2020-10_south-west_BOSS 327"
"2020-10_south-west_BOSS","327","Labridae","Suezichthys","bifurcatus",2,"2020-10_south-west_BOSS 327"
"2020-10_south-west_BOSS","327","Scorpididae","Neatypus","obliquus",3,"2020-10_south-west_BOSS 327"
"2020-10_south-west_BOSS","327","Serranidae","Caesioperca","spp",1,"2020-10_south-west_BOSS 327"
"2020-10_south-west_BOSS","327","Serranidae","Epinephelides","armatus",1,"2020-10_south-west_BOSS 327"
"2020-10_south-west_BOSS","327","Sparidae","Chrysophrys","auratus",1,"2020-10_south-west_BOSS 327"
"2020-10_south-west_BOSS","329","Berycidae","Centroberyx","sp1",255,"2020-10_south-west_BOSS 329"
"2020-10_south-west_BOSS","329","Callanthiidae","Callanthias","australis",79,"2020-10_south-west_BOSS 329"
"2020-10_south-west_BOSS","329","Enoplosidae","Enoplosus","armatus",43,"2020-10_south-west_BOSS 329"
"2020-10_south-west_BOSS","329","Labridae","Bodianus","vulpinus",1,"2020-10_south-west_BOSS 329"
"2020-10_south-west_BOSS","329","Neosebastidae","Neosebastes","nigropunctatus",1,"2020-10_south-west_BOSS 329"
"2020-10_south-west_BOSS","329","Scorpididae","Neatypus","obliquus",38,"2020-10_south-west_BOSS 329"
"2020-10_south-west_BOSS","329","Serranidae","Caesioperca","spp",6,"2020-10_south-west_BOSS 329"
"2020-10_south-west_BOSS","329","Serranidae","Epinephelides","armatus",1,"2020-10_south-west_BOSS 329"
"2020-10_south-west_BOSS","331","Carangidae","Pseudocaranx","spp",2,"2020-10_south-west_BOSS 331"
"2020-10_south-west_BOSS","331","Monacanthidae","Meuschenia","scaber",1,"2020-10_south-west_BOSS 331"
"2020-10_south-west_BOSS","331","Neosebastidae","Neosebastes","nigropunctatus",1,"2020-10_south-west_BOSS 331"
"2020-10_south-west_BOSS","333","Berycidae","Centroberyx","gerrardi",9,"2020-10_south-west_BOSS 333"
"2020-10_south-west_BOSS","333","Labridae","Bodianus","vulpinus",1,"2020-10_south-west_BOSS 333"
"2020-10_south-west_BOSS","333","Labridae","Coris","auricularis",2,"2020-10_south-west_BOSS 333"
"2020-10_south-west_BOSS","333","Scorpididae","Neatypus","obliquus",9,"2020-10_south-west_BOSS 333"
"2020-10_south-west_BOSS","333","Sparidae","Chrysophrys","auratus",1,"2020-10_south-west_BOSS 333"
"2020-10_south-west_BOSS","334","Labridae","Coris","auricularis",11,"2020-10_south-west_BOSS 334"
"2020-10_south-west_BOSS","334","SUS","SUS","sus",1,"2020-10_south-west_BOSS 334"
"2020-10_south-west_BOSS","335","Labridae","Austrolabrus","maculatus",1,"2020-10_south-west_BOSS 335"
"2020-10_south-west_BOSS","335","Labridae","Coris","auricularis",16,"2020-10_south-west_BOSS 335"
"2020-10_south-west_BOSS","335","Labridae","Ophthalmolepis","lineolatus",5,"2020-10_south-west_BOSS 335"
"2020-10_south-west_BOSS","335","Labridae","Pseudolabrus","biserialis",4,"2020-10_south-west_BOSS 335"
"2020-10_south-west_BOSS","335","Mullidae","Parupeneus","chrysopleuron",1,"2020-10_south-west_BOSS 335"
"2020-10_south-west_BOSS","343","Berycidae","Centroberyx","gerrardi",102,"2020-10_south-west_BOSS 343"
"2020-10_south-west_BOSS","343","Carangidae","Seriola","hippos",46,"2020-10_south-west_BOSS 343"
"2020-10_south-west_BOSS","343","Carangidae","Seriola","lalandi",21,"2020-10_south-west_BOSS 343"
"2020-10_south-west_BOSS","343","Monacanthidae","Nelusetta","ayraud",1,"2020-10_south-west_BOSS 343"
"2020-10_south-west_BOSS","343","Sparidae","Chrysophrys","auratus",4,"2020-10_south-west_BOSS 343"
"2020-10_south-west_BOSS","356","Carangidae","Pseudocaranx","spp",3,"2020-10_south-west_BOSS 356"
"2020-10_south-west_BOSS","356","Cheilodactylidae","Nemadactylus","valenciennesi",1,"2020-10_south-west_BOSS 356"
"2020-10_south-west_BOSS","356","Kyphosidae","Girella","tephraeops",1,"2020-10_south-west_BOSS 356"
"2020-10_south-west_BOSS","356","Labridae","Ophthalmolepis","lineolatus",1,"2020-10_south-west_BOSS 356"
"2020-10_south-west_BOSS","356","Labridae","Pseudolabrus","biserialis",5,"2020-10_south-west_BOSS 356"
"2020-10_south-west_BOSS","356","Scorpididae","Neatypus","obliquus",15,"2020-10_south-west_BOSS 356"
"2020-10_south-west_BOSS","356","Scorpididae","Scorpis","aequipinnis",5,"2020-10_south-west_BOSS 356"
"2020-10_south-west_BOSS","356","Serranidae","Epinephelides","armatus",2,"2020-10_south-west_BOSS 356"
"2020-10_south-west_BOSS","358","Monacanthidae","Nelusetta","ayraud",1,"2020-10_south-west_BOSS 358"
"2020-10_south-west_BOSS","358","Oplegnathidae","Oplegnathus","woodwardi",3,"2020-10_south-west_BOSS 358"
"2020-10_south-west_BOSS","36","Dasyatidae","Bathytoshia","brevicaudata",1,"2020-10_south-west_BOSS 36"
"2020-10_south-west_BOSS","360","Oplegnathidae","Oplegnathus","woodwardi",12,"2020-10_south-west_BOSS 360"
"2020-10_south-west_BOSS","360","Squalidae","Squalus","spp",6,"2020-10_south-west_BOSS 360"
"2020-10_south-west_BOSS","361","Labridae","Suezichthys","bifurcatus",2,"2020-10_south-west_BOSS 361"
"2020-10_south-west_BOSS","361","Serranidae","Caesioperca","spp",5,"2020-10_south-west_BOSS 361"
"2020-10_south-west_BOSS","363","Labridae","Coris","auricularis",1,"2020-10_south-west_BOSS 363"
"2020-10_south-west_BOSS","363","Labridae","Suezichthys","bifurcatus",2,"2020-10_south-west_BOSS 363"
"2020-10_south-west_BOSS","363","Scorpididae","Neatypus","obliquus",8,"2020-10_south-west_BOSS 363"
"2020-10_south-west_BOSS","363","Serranidae","Caesioperca","spp",1,"2020-10_south-west_BOSS 363"
"2020-10_south-west_BOSS","363","Serranidae","Epinephelides","armatus",1,"2020-10_south-west_BOSS 363"
"2020-10_south-west_BOSS","365","Labridae","Suezichthys","bifurcatus",2,"2020-10_south-west_BOSS 365"
"2020-10_south-west_BOSS","365","Monacanthidae","Meuschenia","scaber",2,"2020-10_south-west_BOSS 365"
"2020-10_south-west_BOSS","365","Aracanidae","Anoplocapros","lenticularis",1,"2020-10_south-west_BOSS 365"
"2020-10_south-west_BOSS","365","Serranidae","Caesioperca","spp",42,"2020-10_south-west_BOSS 365"
"2020-10_south-west_BOSS","370","Callanthiidae","Callanthias","australis",3,"2020-10_south-west_BOSS 370"
"2020-10_south-west_BOSS","372","Monacanthidae","Nelusetta","ayraud",1,"2020-10_south-west_BOSS 372"
"2020-10_south-west_BOSS","372","Neosebastidae","Neosebastes","pandus",1,"2020-10_south-west_BOSS 372"
"2020-10_south-west_BOSS","372","Oplegnathidae","Oplegnathus","woodwardi",2,"2020-10_south-west_BOSS 372"
"2020-10_south-west_BOSS","374","Labridae","Suezichthys","bifurcatus",3,"2020-10_south-west_BOSS 374"
"2020-10_south-west_BOSS","374","Monacanthidae","Meuschenia","scaber",2,"2020-10_south-west_BOSS 374"
"2020-10_south-west_BOSS","374","Serranidae","Caesioperca","spp",7,"2020-10_south-west_BOSS 374"
"2020-10_south-west_BOSS","377","Monacanthidae","Nelusetta","ayraud",3,"2020-10_south-west_BOSS 377"
"2020-10_south-west_BOSS","377","Neosebastidae","Neosebastes","bougainvillii",1,"2020-10_south-west_BOSS 377"
"2020-10_south-west_BOSS","377","Oplegnathidae","Oplegnathus","woodwardi",1,"2020-10_south-west_BOSS 377"
"2020-10_south-west_BOSS","378","SUS","SUS","sus",2,"2020-10_south-west_BOSS 378"
"2020-10_south-west_BOSS","4","Labridae","Coris","auricularis",9,"2020-10_south-west_BOSS 4"
"2020-10_south-west_BOSS","4","Labridae","Suezichthys","bifurcatus",4,"2020-10_south-west_BOSS 4"
"2020-10_south-west_BOSS","40","Callanthiidae","Callanthias","australis",16,"2020-10_south-west_BOSS 40"
"2020-10_south-west_BOSS","40","Gerreidae","Parequula","elongata",3,"2020-10_south-west_BOSS 40"
"2020-10_south-west_BOSS","46","Berycidae","Centroberyx","sp1",439,"2020-10_south-west_BOSS 46"
"2020-10_south-west_BOSS","46","Scorpididae","Neatypus","obliquus",3,"2020-10_south-west_BOSS 46"
"2020-10_south-west_BOSS","46","Serranidae","Epinephelides","armatus",1,"2020-10_south-west_BOSS 46"
"2020-10_south-west_BOSS","47","Monacanthidae","Nelusetta","ayraud",3,"2020-10_south-west_BOSS 47"
"2020-10_south-west_BOSS","47","Oplegnathidae","Oplegnathus","woodwardi",1,"2020-10_south-west_BOSS 47"
"2020-10_south-west_BOSS","49","Monacanthidae","Nelusetta","ayraud",1,"2020-10_south-west_BOSS 49"
"2020-10_south-west_BOSS","49","Neosebastidae","Neosebastes","bougainvillii",1,"2020-10_south-west_BOSS 49"
"2020-10_south-west_BOSS","49","Oplegnathidae","Oplegnathus","woodwardi",1,"2020-10_south-west_BOSS 49"
"2020-10_south-west_BOSS","5","Labridae","Coris","auricularis",1,"2020-10_south-west_BOSS 5"
"2020-10_south-west_BOSS","5","Mullidae","Parupeneus","chrysopleuron",3,"2020-10_south-west_BOSS 5"
"2020-10_south-west_BOSS","5","Serranidae","Caesioperca","spp",73,"2020-10_south-west_BOSS 5"
"2020-10_south-west_BOSS","63","Oplegnathidae","Oplegnathus","woodwardi",1,"2020-10_south-west_BOSS 63"
"2020-10_south-west_BOSS","63","SUS","SUS","sus",6,"2020-10_south-west_BOSS 63"
"2020-10_south-west_BOSS","71","Oplegnathidae","Oplegnathus","woodwardi",1,"2020-10_south-west_BOSS 71"
"2020-10_south-west_BOSS","76","Oplegnathidae","Oplegnathus","woodwardi",1,"2020-10_south-west_BOSS 76"
"2020-10_south-west_BOSS","77","Pinguipedidae","Parapercis","naevosa",1,"2020-10_south-west_BOSS 77"
"2020-10_south-west_BOSS","78","Monacanthidae","Nelusetta","ayraud",1,"2020-10_south-west_BOSS 78"
"2020-10_south-west_BOSS","78","Oplegnathidae","Oplegnathus","woodwardi",2,"2020-10_south-west_BOSS 78"
"2020-10_south-west_BOSS","78","Polyprionidae","Polyprion","oxygeneios",2,"2020-10_south-west_BOSS 78"
"2020-10_south-west_BOSS","78","Squalidae","Squalus","spp",1,"2020-10_south-west_BOSS 78"
"2020-10_south-west_BOSS","95","Monacanthidae","Nelusetta","ayraud",2,"2020-10_south-west_BOSS 95"
"2020-10_south-west_BOSS","96","Callanthiidae","Callanthias","australis",40,"2020-10_south-west_BOSS 96"
